,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
28,"""Good package but long working hours""",I worked at Huawei Technologies full-time for more than a year,Package and benefits are good,They make you work for a long time,1.0,2.0,3.0,3.0,2.0
29,"""So much wasted potential""",I worked at Huawei Technologies full-time for more than a year,"Great products, great technology, great potential","Lack of vision, bureaucratic, lack of humbleness, idiotic internal procedures",4.0,3.0,3.0,4.0,2.0
30,"""Not for everyone but great pay and experience,""",I have been working at Huawei Technologies full-time for less than a year,"Engineers at Huawei are world class builders and are very open and passionate about new technical ideas. Cutting edge technology is easy to  get experience with if you have ambition and a curious mind. You can travel to China and many other countries, and learn every step of the way. Huawei's pay is higher than market rates, typically significantly so. US workers perform advanced development and do not undergo the same treadmill-like lifestyle found in many other software shops. In short, it can be a unique opportunity for someone with an open mind, and for those who like to invent.","The company has been singled out by the US government as a bad actor, although no evidence of ""backdoors"" has been produced as of yet. This stigma is annoying. People used to a highly organized ""scrum"" culture, or who are not self motivated, will probably be unhappy. People who cannot work well with other cultures probably would be a bad fit.",4.0,4.0,4.0,5.0,4.0
31,"""Walk away""",I worked at Huawei Technologies full-time,salary was fair and benefits fair.,Culture was awful; information available to employees non-existent,,,,,
32,"""Solution Sales""",I worked at Huawei Technologies full-time,Decent amount of salary and benefits,Work-life balance does not really exist,,,,,
33,"""Not a multinational company - very much a Chinese company""",I worked at Huawei Technologies full-time for more than 8 years,"If you are Chinese, it's all upside.","If you are not Chinese, don't expect anyone to heed your expertise, whatever that may be. Chinese always know best, even if they're utterly clueless on any given subject.",1.0,1.0,1.0,3.0,1.0
34,"""good company but lots of work to do""",I worked at Huawei Technologies full-time,"high start salary in China, long term high salary",need to work overload and come home at night,3.0,4.0,5.0,5.0,5.0
35,"""Horrible place to work""",I have been working at Huawei Technologies full-time,"The only pro is they pay much higher than most companies in Silicon Valley, especially in terms of base salary.  Also, there is the chance of traveling to China.","-Gave me very little information before joining and mislead me quite a bit.  Said I working with certain people but it turned out not to be true.  I met very few people before joining.

-Give me no work after joining no matter how much I ask for work.  Some people seem to have way too much work and some way too little.  Management is very passive.  For things that are critical they tell employees to get it done and they don't care at all how it gets done(i.e. they are not involved technically).  For things that are not critical they expect employees to be super active and get amazing stuff done without having to spend any of their own effort.

-Everyone is very political and nobody works together with a common goal.  Everything is centrally controlled from China and you can't see the organization chart in China, only the US.  It is very unclear what the management structure is.  Most people will have multiple managers, some in the US and some in China.

-A lot of brainwashing by the HR team during their orientation.  They play lots of videos and try to hypnotize you into thinking you are saving the world.  They make you accept a book that was published by some executives and I'm suprised they don't force you to read it out loud.

-They are paranoid about information security and have lots of restrictions which make it impossible to get anything done at work.  The management tells us to violate some of the company policies in order be able to get at least some stuff done and the IT people turn a blind eye to this.  People are constantly getting in trouble for violating some company policy.

-Almost all of the important information for doing engineering work is located in China so it's almost impossible to get anything done in the US.  All of the decision making is made there.

-There is no socializing at our company and it's very racially segregated.

-Managers are very non-technical and the skill level of most employees is low.


-During the process of setting personals goals for the year for which we will be evaluated there was no interaction with management besides extremely vague statements about what they wanted me to accomplish.  When I tried to get clarification I was blown off.

-The company strategy is to just hire very experienced senior engineers in the US with more than 15yrs experience and milk them for knowledge.  HR and management don't try to hide this at all.  They are not interested in having a permanent presence in the US and developing the younger generation here.  Huawei employs about 180,000 people.  They are constanty shifting around what people do in China so the people there are not experts at anything.

-The English skills of many of the people in the US and most people in China are very poor.  The communication style is also very indirect.  The good thing is the people in the US make a honest effort to communicate well(sometimes it's still not good enough though).  However, the bad thing is many people in China will not respond to numerous emails you send them.  There is no spirit of working towards a common goal with them.

-Nobody on my project seems to care about doing a good job.  No matter how active I tried to be to promote good ideas and directions nobody responds to you at all.  It shows the attitude of the people there.",3.0,1.0,1.0,3.0,1.0
36,"""Good company if you want to learn""",I worked at Huawei Technologies ,A good place to learn things,Work life balance is not very good,3.0,4.0,4.0,4.0,4.0
37,"""Working at Huawei Santa Clara""",I worked at Huawei Technologies full-time for more than 3 years,"Innovation, Smart People, working on some hard problems","No decision making authority in US - only upto POC, Pilot, Prototype",,,,,
