,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
118,"""Sr Support Engineer""",I worked at Huawei Technologies full-time for more than 8 years,Stable growth in the market,Culture has different working promotion methods than USA,3.0,5.0,5.0,5.0,5.0
119,"""Senior Software Engineer""",I have been working at Huawei Technologies full-time,"During early days of Huawei USA, flat organization and good team spirit
As a new player in US, business development was quite challenge
Close interaction with China R&D teams","For Huawei China, it might some issues. But for Huawei USA Research Centers, they are really good in work environment and culture, without any Cons of Huawei China.",5.0,5.0,5.0,5.0,5.0
120,"""Caution with Huawei""",I worked at Huawei Technologies full-time,Solid company with good financials.,Lack of communication and experience of managment.,3.0,2.0,3.0,4.0,2.0
121,"""A competitive work environment""",I have been working at Huawei Technologies full-time for less than a year,"* company encourages employees to explore new technologies
* competitive compensation","* hard to communicate with HQ (language barriers, time-zone differences)
* high competition for good-quality projects",3.0,4.0,4.0,4.0,3.0
122,"""I already did a review. just updating my resume""",I worked at Huawei Technologies full-time,learn a lot of different things,not enough work in the market for them,,,,,
123,"""Get recognition for your contributions""",I have been working at Huawei Technologies full-time for less than a year,"- Get recondition being a great contribution
- Result Orientated
- Good bonus package for recognized contributors 
- Good opportunities","- Company Processes keeps changing 
- Department Directors / managers  assigned from HQ changes rapidly (changes every 1-2 years)
- Heavy workload",2.0,4.0,4.0,3.0,3.0
124,"""Sales Ops""",I worked at Huawei Technologies full-time,"Decent health benefit.  Location in Plano is great.  Office cube is big. If you are experienced folks coming from the industry ( cisco, ATT, ..) they will pay you big bucks try to get every piece info out of you.","Micro-management, expected you to join off hours call while not allowing you to be flexible during business hours. Appraisal is based on relationships with upper mgmt. which are all expat from HQ.",1.0,2.0,2.0,4.0,2.0
125,"""huawei""",I have been working at Huawei Technologies ,good entry level opportunities. Nice products,management keeps changing every 2 years,,,,,
126,"""great company to work for""",I worked at Huawei Technologies full-time,Global company with an impressive growth every year.  Excellent products. Nice people,can not think of any,5.0,5.0,5.0,5.0,5.0
127,"""Great Company Investing in the future""",I have been working at Huawei Technologies full-time,huge investment in future technology,"heavy workload, little life work balance",3.0,4.0,4.0,5.0,4.0
128,"""Senior Financial Specialist""",I have been working at Huawei Technologies full-time for more than 5 years,"Good growing opportunities, everyone is open minded for new idea.","Bad work/ life balance, the process is unreasonable and super long, always ask for unnecessary approvals for literally everything. The HQ is very conservative and barely listens to regional office's needs.",1.0,3.0,3.0,4.0,3.0
129,"""Senior System Engineer""",I have been working at Huawei Technologies ,Nice pay and acceptable pressure,"Lack of challenge, all routine",,,,,
130,"""Huge organisation""",I have been working at Huawei Technologies ,"You have some free time to do your own stuffs, but you got pressure sometimes","Too many people to do only one thing, it's not efficient",4.0,3.0,4.0,5.0,2.0
131,"""Administration""",I worked at Huawei Technologies full-time,Enjoyed coworkers. Diverse international employees.,"Sometimes difficult to work within company based in China, due to time difference, and language issues.",3.0,3.0,3.0,3.0,3.0
132,"""DO NOT WORK FOR THIS COMPANY""",I worked at Huawei Technologies full-time for more than a year,"Great Benefits, nice desk, clean windows. .. yep thats it, nothing else.","Management is terrible.

If you are not asian you will never get promoted or treated fairly.  The c-level people were all asian and wanted to run the enterprise business in america like they did in china, cutting peoples pay, cutting benefits, cutting everything.

I was part of the sales team and they changed the comp plan every quarter making it impossible for me to make comission.  They provided no training, no plan, no guidance to achieve my goals.

Traveling was a joke.  Our budget for meals a day was $40 and hotels was $90 a day.  When I did travel some nights I could barely afford motel6.  This company is so cheap that they don't even offer coffee.  Only water.  They never celebrated anything.

If you were non-asian you were looked down at.  They spoke Mandarin all though out the office extremely loud and it sounded like a 3rd world country call center, and when your on the phones trying to make sales, its impossible with all the foreign language and shouting.

Don't expect anyone in HR to help you with anything or payroll, you get the run around all the time.  One month our medical got cancelled because they forgot to pay their premium so everyone lost their medical benefits and had to re-enroll.

Turn over is extremely high because they are so un-organized and treat their employess so unfairly.  Again, if your not asian dont expect anything out of them because they discrimiate against a lot of people within the company.  They have actually been sewed on numerious occasions because of this.",1.0,1.0,1.0,1.0,1.0
133,"""antenna technician""",I worked at Huawei Technologies part-time,Very easy job not a lot is asked from you.,It can get boring  and repetitive .,3.0,5.0,1.0,3.0,5.0
134,"""Run, dont walk away from this company""",I worked at Huawei Technologies full-time for more than 3 years,None. Initial salary is attractive.,"Futurewei Santa Clara exists only to repatriate Chinese American engineers.
In US, >85% of workforce is chinese. Most conversations are in Chinese which creates cultural and language barriers. All decisions and flows are micromanaged by mainland headquarters. No products are produced for North America. No leadership only follower behavior. All programs are offshored within 2 years of
being started. All documents are encrypted and time out within months. All design flows are obsoled by HQ. You clearly feel like you work for a China only company. There is a China first mantra and the company exists to provide access to silicon valley. However no projects are adaquetely resourced, only chinese engineers are encouraged and all employees turn over after 5 years. All projects are bid to win, unresourced,  required to work with China teams, told thet are overpriced and underperform. No information is shared on requirements or usage, making it difficult to optimize systems. Nightly meetings with mainland staff and frequent trips to mainland are the norm. Benefits (medical, etc) are marginal. If you dont speak the language you are at a severe disadvantage.
Constant turnover of management and staff. Missions are not long term.
Constant project justification and status instead of empowering teams.",1.0,1.0,1.0,1.0,1.0
135,"""Contract manager, contract administrator""",I worked at Huawei Technologies full-time for more than 8 years,"good opportunity for young people, rapid growth, global company, importance of team work.","lack of attention on personal career path, bonus's ratio in personal income is too high,.",2.0,5.0,3.0,3.0,4.0
136,"""Working Experience""",I worked at Huawei Technologies full-time,"> Provides challenging assignments 
> Open to new ideas and initiatives
> Encouraging co-workers",> Poor work-life balance and many ad hoc assignments to be handled at a given time.,2.0,4.0,4.0,2.0,4.0
137,"""Not eaqual opportunity""",I have been working at Huawei Technologies full-time for more than 3 years,Salary and benefits are standard reasonable market range,"Not good for non Chinese and women
Very hard to communicate 
Most of managers are Chinese 
No eaqual opportunity for non Chinese",2.0,1.0,1.0,3.0,1.0
138,"""optical engineer""",I worked at Huawei Technologies ,Can Learn a lot from different kinds project,high pressure on different projects,5.0,5.0,5.0,5.0,3.0
139,"""fine experience""",I worked at Huawei Technologies full-time,good for equality for hard working employee,"work hard, too much pressure all the time",,,,,
140,"""Technical Engineer""",I worked at Huawei Technologies full-time,"Market pay at the beginning.
Good bonus at the beginning.","Never got a raise in 6 year while I was there.
Bonus was good at the beginning, as time goes by the bonus was getting small and smaller until nothing from last year, unless you are 1% person, and less than what usually get in 1% in previous year. (One department can only has one 1%)
Not a good team player where I worked, the manager told me not to worry other team member projects.
Working later night on daily base with HQ in China/India without any compensate.",1.0,1.0,1.0,1.0,1.0
141,"""Good Company""",I have been working at Huawei Technologies full-time,"No drama, very collaborative environment",Very little structure and a lot of ambiguity.,2.0,4.0,4.0,4.0,2.0
142,"""Huawei""",I have been working at Huawei Technologies full-time,Access to variety of technologies,No career for non Chinese and lack of leadership except at the top. Middle management are just managers enforcing orders from above.,1.0,1.0,1.0,4.0,2.0
143,"""Very challenging, but good!""",I have been working at Huawei Technologies full-time for more than 5 years,"Global company with an impressive growth in the last years. Excellent products to offer. There are many challenges in any position, so it is almost impossible to get bored.","Internal communication issues and very long processes. Since it is a global company, procedures and regulations are revised constantly, so probably the things you learn today might not help much in the near future.",3.0,4.0,3.0,4.0,4.0
144,"""Huawei is a solid place to work""",I worked at Huawei Technologies full-time,Very good salary in US market; opportunity to work with market leading products and solutions.,Very tight process control from HQ.,4.0,3.0,5.0,5.0,3.0
145,"""bureaucratic""",I have been working at Huawei Technologies full-time for more than 3 years,"1. Young and Energetic Atmosphere
2. Career path is planned out and promising
3.Benefit sharing
4.Giving chance to people to improvement, to take responsibilities and to grow","1. Due to extraordinary number of middle level managers, building up a relationship is hardly possible.
2.Huge workload, you can be certain that your personal life is going to be stopped not just affected
3.So many tiresome procedures
4.the organization culture does not consider staffs as a human being, just a small part of a huge machine",1.0,1.0,5.0,4.0,
146,"""Engineer""",I have been working at Huawei Technologies full-time for more than a year,"1. Pay is good
2. HR is helpful","1.	DO NOT join this company in USA, especially if you are on H1B. They have a history of hiring people and firing them once the project is done. If you are on H1B, it can jeopardize your career. For GC and US Citizens, only reason you can work for this company is if they pay you well above the market compensation levels, but even then it is not worth it because of reasons stated below. Many companies are paying similar and not abusing their employees. 
2.	Poor Management. No peer technical discussion. Managers will ask you to create a project plan assuming multiple resources available. Then they will not provide the resource, and use the project plan that you created to track you back, under totally unrealistic deadlines. Managers will provide wrong directions and hold you responsible for their incorrect decision making.
3.	Lack of work ethics/decorum: Managers will pretend that they are doing you a favor by paying you more than people employed in China. They openly say in meetings that “you are paid 5x compared to Chinese employees so you should work 5x more”. No effort estimate will be done for the work. You will go to meetings and they will review the items not done and humiliate you for what is not done. Again, I have been told, “I don’t care how it will be done or how many hours is needed, it needs to be done in 2 days”. They will formally track your progress against an unrealistic schedule, probably because they would need this documentation for legal purposes when people are fired
4.	Lack of power in US: Most decisions are made in China HQ. So your manager will blame you if your group missed a bug. Everyone higher up blames people down the hierarchy to save their jobs . Your manager will expose your weakness and hide your strength, so that if some thing wrong happens, they can blame and fire you while retaining their own job. This is true whether you are a manager or an employee. 
5.	Poor infrastructure: IT infrastructure is poor. Compute resource is limited. Too much restriction in accessing documents etc causes loss in productivity. 
6.	Zero Training: Forget about training sessions. You will not learn anything because there are no training videos, poor documentation and even zero discussion. 
7.	Competition over co-operation: Managers here promote a culture of competition over co-operation. China folks don’t trust US folks and vice versa. Everyone in US wants to be manager, no one wants to work
8.	Communication problem + time zone issues: You will have to work with China folks starting from 7pm. Most of them don’t understand English properly 
9.	Lack of diversity: Practically zero female engineers and less than 10% non-chinese people
10.	Cafeteria: food sucks",1.0,1.0,1.0,5.0,1.0
147,"""Core Network Technician""",I worked at Huawei Technologies ,Good company to learn networking and telecommunication.,no wok-life balance and promotions.,,,,,
148,"""Principal Architect""",I worked at Huawei Technologies full-time,"Awesome experience living in China, Great working environment and eager co-workers",Definitely difficult at times working in a Chinese company...  and not just language barriers.  Company culture and expectations are different than traditional western cultures.,4.0,5.0,2.0,4.0,4.0
149,"""enginner""",I worked at Huawei Technologies full-time,"decent compensation, and great flexibility",corporate culture and career path,,,,,
150,"""good""",I have been working at Huawei Technologies full-time for less than a year,Great Environment very good pay,"Heavy duty tasks
Management very inconsiderate",4.0,5.0,5.0,5.0,3.0
151,"""Amazing, always in expansion company!!""",I worked at Huawei Technologies full-time for more than a year,"Good place to learn, start and groww",take care about you work family time balance. there will be always thing to do for yesterday!!,4.0,5.0,4.0,4.0,5.0
152,"""Complex to comment on a huge company""",I worked at Huawei Technologies full-time,income grows significantly with working years,Not very good work life balance,,,,,
153,"""Sales Manager""",I worked at Huawei Technologies full-time for more than a year,"-High level client groups
-Great exposure to the industry
-Decent salary for newly grads
-Good platform and experience",Company actively try to break your life-work balance,1.0,3.0,5.0,5.0,3.0
154,"""Goood""",I worked at Huawei Technologies full-time,"good salary, working condition, and friendly people.",Very good salary. Good to start career,4.0,4.0,4.0,4.0,4.0
155,"""Amazing company""",I worked at Huawei Technologies full-time,always for new solutions and people can grow and achieve success,all kpi based performance evaluation,2.0,3.0,5.0,5.0,5.0
156,"""current""",I have been working at Huawei Technologies full-time for more than a year,"End to end solution , Growing Company",Work Ethics and Culture,1.0,1.0,1.0,1.0,1.0
157,"""Friendly""",I have been working at Huawei Technologies full-time,"Flexible, friendly and overall great company culture",Not always possible to work from home,4.0,4.0,4.0,4.0,4.0
158,"""Good""",I have been working at Huawei Technologies ,Very good salary. Good to start career.,Always pressure at work especially in project.,1.0,2.0,3.0,3.0,3.0
159,"""Great place to work.""",I worked at Huawei Technologies full-time,"Compassionate, friendly Chinese culture in corporate USA.",The company could sharpen mentoring skills.,2.0,4.0,4.0,3.0,2.0
