,pro,con
311,good vision,monolithic organizations
312,road maps,leverage
313,good package,proof
314,much work,classroom training
315,free time,all the solutions
316,very collaborative,money
317,many,another year
318,opportunities,employment
319,skills,life balance
320,potential,daily evening calls
321,legacy,open workspace
322,technology,horrible hours
323,interesting,the people
324,cons,charge
325,the pros,the mobile phone division
326,no need,no idea
327,anything,the world
328,great working atmosphere,fortune
329,great technology,500 big shot company
330,kiss,reality
331,supportive team,joke
332,great manager,the turnover
333,awesome,book
334,friendly team,combat
335,interesting work,mundane periods
336,good culture,much punctuated bye moments
337,great products,sheer terror
338,awesome growth,bunch
339,one,much this place
340,the leaders,nutshell
341,laptop design,all the layoffs
342,condition,seven
343,line,some point
344,colleagues,the same mistakes
345,professional,first
346,no limit,the products
347,unlimited pto,garbage
348,competitive salary,the treatment
349,big company,anything
350,the industry,no free snacks
351,innovative products,lunch
352,super employee support,discounts
353,pathways,laptops
354,promotions,compensation
355,hq,stability issue
356,many things,position
357,company views,no much
358,market disruptor,uplifting opportunity
359,strategic cost,collaboration
360,advantages,every effort
361,strategy,drama
362,growth opportunity,sometimes bad job
363,working,butother times
364,consumer market things,culture
365,multinational company,alliances
366,flexible,the tv show survivor
367,team culture,trend
368,chinese company,the software engineering
369,good work,development
370,less products,costs
371,the pay,the morrisville site
372,average,an open workspace
373,the area,good thing
374,the bonus structure,new talent
375,most other companies,more people
376,great 401k matching plan,each building
377,great company,cost reduction measure
378,talented people,every new person
379,none,product interests
380,list,every
381,the availability,the most recent
382,love,only working
383,them,few months
384,great experiences,really
385,great collaboration,the management
386,peers,several people
387,excellent,serious
388,great opportunity,continuity
389,edge technology,constant layoffs
390,cool pc products,yearly basis
391,nice benefits,frequent reorganizations
392,professional atmosphere,business units
393,good salry,way
394,best,experienced workers
395,place,other countries
396,teamwork,cheaper labor
397,flexible hours,no
398,ability,the ever
399,projects,workloads
400,broad opportunities,unrealistic goals
401,improving customer focus,the executives
402,travel opportunities,numerous
403,typical 401k matching,project schedules
404,week vacations,surveys
405,affordable health coverage,total waste
406,company numbers,time
407,good pay,the cafeteria food
408,some technology,too much
409,advancements,not good company
410,some partners,the cubicles
411,responsibility,an open layout
412,competitive benefits,second ra
413,great bonus potential,quotas
414,amazing things,transparency
415,consistent,each other lots
416,compensation,politics
417,some bosses,some managers
418,excellent employees,each other
419,very good management,projects
420,data center,the same division
421,hard workers,other divisions
422,the products,passive aggressive culture
423,friendly hardworking,exec director
424,clean work enviroment,the trick
425,atmosphere,all the good people
426,super employee support systems,top
427,training,bureaucrats
428,other departments,no mistake
429,new ideas,collaborator
430,very friendly,hours
431,good sense,fuzzy leadership
432,camaraderie,real decisions
433,pay,slow
434,merit increases,frequent leadership changes
435,joke,vision
436,leaders,company culture
437,continued success,management skill level
438,earth,dual hq
439,wonderful people,senior mgt
440,expectations,beijing
441,hard work,poor job
442,long hours,good talent
443,test,career change
444,salary,only
445,supportive great team,long hours
446,tenure,weekend
447,wish,flexible hours
448,exceptional benefits,three time zones
449,health,strategy
450,wonderful room,internal processes
451,growth,decisions
452,good hardware,organization
453,product mix,the field
454,good place,some sales incentives
455,and,the rep
456,new technology,spiffs
457,flexible work hours,no cons
458,collaborative work environment,the job
459,us employees,within
460,raleigh company,historical mistakes
461,issues,acquisitions
462,racial diversity,hard environment
463,track record,both
464,wonderful,opportunities
465,site,building products
466,unique culture,marketing dollars
467,large company,equity
468,folks,consequence
469,failure,product
470,raleigh,lower prices
471,future growth,status
472,work schedule,company
473,great atmosphere,nothing moves
474,onsite buildings,local geos
475,often,individuals
476,ways,more
477,new career,top jobs
478,change career paths,chinese
479,vacation,the hw business
480,health insurance,profit
481,executives,the data
482,themselves,center group
483,work cellphone,key industry partnerships
484,nice collages,executives
485,employee programs opportunity company,many opportunities
486,too many late night,everybody inside
487,early morning calls,new projects
488,career,the executive leadership
489,exceptional talent,the eds
490,good variety,that role
491,very large tech,the long term
492,multiple segments,no chances
493,recruiters,customer needs
494,america leadership,far one
495,many opportunities,the worst
496,upward mobility,the industry
497,interest,teams
498,nice attitude,thin
499,lgbtq,accountability
500,phenomenal people,workers
501,global company,almost everything
502,great diversity,single qualified candidate
503,location,this horrendous business model
504,work hours,the internal systems
505,great work life,clear career paths
506,flexible vacation policy,the individual
507,fast paced environment,ineffective leadership
508,internal growth opportunities,priorities
509,independence,plan
510,areas,week
511,transition,an open vacation policy
512,move,any time
513,strong,interns
514,china,any benefits
515,senior leadership,end
516,the strength,internship
517,cultures,some internships
518,time,no company
519,money,some days
520,resources,nothing
521,an exceptional experience,constant cost focus
522,every customer,staff
523,the review title,chinese leadership
524,phrase,us employees
525,the experience,executive administrative assistant managers
526,the future,favoritism
527,young company,other positions
528,big moves,side
529,this sense,the fear
530,startup,layoff
531,large,survivor
532,the,frequent layoffs
533,capital,the skills
534,bureaucracy,themselves
535,legacy systems,task
536,real way,hand
537,many professionals,regulation
538,the best parts,perseverance
539,sales,clear
540,considerable leeway,data center products
541,things,regular resource actions
542,one saw fit,profitability
543,the openness,good business decisions
544,testament,call
545,the fact,silo
546,extensive work history,recent resource action
547,large corporation,secret
548,college,budget issues
549,chance,data center group
550,the life,lots
551,other companies,budget
552,long,skeleton crews
553,challenges,mounting number
554,the right opportunity,difficult projects
555,good employees,business downtime
556,overall,no much bonus end
557,good experience,engineers
558,pay structure,approvals
559,balance culture,too much structure
560,full cafeteria trail,rpoblem
561,t9 work,little room
562,excellent benefits,everything long hours
563,engaging environment,incompetent toxic environment
564,plenty,lost weekends
565,internal,travel management
566,managers,professional stay
567,other job opportunities,working
568,the expense,total lack
569,committed projects,leadership team
570,trusts,team managers
571,appropriately,most other companies
572,unwarranted,self identity
573,pay increases,all strategy discussion
574,above average,no execution experience
575,salaries,red tape
576,senior engineers,much interaction
577,other local companies,multiple teams
578,other senior engineers,similar projects
579,the rtp,no clear cut ownership
580,raleigh area,the books
581,the average salary,one ounce
582,glassdoor,customer
583,other summaries,old boys network
584,engineers,horrible management
585,similar skills,directors
586,some great people,grudges
587,contact,no room
588,the years,pc business
589,solid attempt,upper management decision
590,b2b sales,full employment
591,experience,many changes
592,motorola,the sake
593,others,change
594,exchange ideas,the pc sw business
595,interesting new products,the past several years
596,the benefits package,marketing
597,the work,managment structure
598,the difference,strong culture
599,the best reason,other tech companies
600,months maternity leave,apple
601,the us,headquarters
602,the global team,horrible food
603,remote,the cost
604,flexible schedule,other silicon valley companies
605,twice yearly reviews,the 1000s
606,good growth path,google
607,terms,more info
608,vacations,the bonus process
609,leave,not peers
610,good maternity,facts
611,policy,ways
612,moms,itself
613,development tools,all vp executives
614,cigna,the marketing department
615,global country,no women
616,high marketshare,ethnic minorities
617,total team atmosphere,the year
618,celebrate success,some departments
619,friendly environment,any large organization
620,tech company,new ideas
621,an innovator,drive change
622,device revolution,some internal strife
623,vr,ibm leftover
624,personal phones,strain
625,much more,highly matrixed
626,great work environment,very top heavy
627,job opportunities,endless number
628,nice coworkers,executive leadership meetings
629,hours,result
630,good sales performance,excess amount
631,nice work circumstance,powerpoints
632,good colleagues,low pay
633,flexible work schedules,comparison
634,the entry level people,surrounding companies
635,advance chance,this place
636,strong sense,flames
637,ownership,the data center side
638,each task,complete unrealistic quotas
639,project,scream
640,large global company,forecasting
641,average salary,bad
642,no,minimal advancement opportunities
643,overtime,selfish management
644,great benfits,selfish team
645,chicago,petty politics
646,flexible working hours,the team
647,sensible,outdated teams
648,vacation time,new branding ideas
649,package,so much backstabbing
650,an option,the scenes
651,free coffee,toxic environment
652,soda,an aged company
653,high tech,start
654,cool products,the ibm brand
655,nice offices,it ages
656,insurance,the motorola way
657,optical,any company acquisitions
658,the great product,security
659,the product knowledge,good
660,user,benefits
661,city,often lower
662,several,pay
663,positions,positive
664,previous employer,the mark
665,the x86 server market,bus
666,the long haul,promotion
667,varied technology solutions,team approach
668,sick time,the customer
669,pressure nice atmosphere,couple
670,employment,divisions
671,this company,copying hp
672,new tools,etc
673,consultant,single quarterback
674,full time,the account
675,wa,different individuals
676,google,different management infrastructure
677,some new google technologies,no communication
678,other google clients,the various groups
679,google company,rapid increase
680,that time,internal calls
681,easy job,training
682,objectives,12 hours
683,team,the work
684,director level,mandatory internal calls
685,problems,every week
686,great multinational company,new report
687,care,metric
688,every day,internal tracking
689,goal,the group meetings
690,dynamic work,some executive
691,good compensation,front
692,transparency,slide
693,executive management,one lenovo
694,regular basis,the truth
695,the members,no such things
696,the team,engineering pay scale
697,nice place,high workload
698,employee perks,many initiatives
699,rtp,few employees stock value
700,decent first post,different team
701,understanding,much direction
702,good medical insurance,the past months
703,the initiative,the internal teams
704,flexible vacation plan,direct competition
705,good direction,too much political back
706,spite,an engineer
707,the best teams,the politics
708,comraderi,the lack
709,teammates,an engineering culture
710,fiscal troubles,the existing team
711,no dearth,very poor quality
712,the hardware side,the manager
713,open workspace,source control
714,the environment,no dev
715,hands,production
716,nc,this time
717,international travel,work environment
718,many jobs,top notch products
719,entrepreneurial,late night
720,great managers,the beijing office
721,team members,rooms
722,good compensation plans,enough space
723,innovative leaders,some information
724,fun work environment,translation
725,false hopes,different teams
726,engineering things,length
727,innovative,online interview
728,nice people,disconnects
729,fun environment,poor communication
730,open communication,long processes
731,fun environments,many different hats
732,professional environment,boundaries
733,nice campus,yourself
734,the solutions,lean organization
735,the customers,prioritization
736,each new day,company benefit
737,401k matching,frequent restructuring
738,profit sharing,flex hours
739,annual bonus,training resources
740,previous reviewers,most large companies
741,conscious choice,cross national coordination
742,great facilities,while
743,strong desire,the proper amount
744,good energy,visibility
745,any pros,advancements
746,60 days,perks
747,some good ideas,other area employers
748,th,team
749,lasr,the time difference
750,program,calls
751,many professional doors,late
752,great way,night
753,more,focus
754,the lasr program,moto
755,every successful business man,servers
756,woman needs,services
757,all individuals,iot
758,benefits package,the projects
759,great atmosphere great time amazing clients,customer experience
760,the same old motorola company,pain points
761,new vision,short
762,different future,the goal lenovo
763,testing technology,contracting agency
764,nice work environment,full time
765,great co workers,tension
766,beautiful campus,the contractors
767,outstanding health benefits,certain things
768,no word,sales contests
769,workload,member
770,awful management,just some annoying limits
771,coolest coworkers,little bit
772,motorola mobility chicago,most jobs
773,unlimited pto vacation,the salary
774,innovative computer company,touchy subject
775,the merchandise,the fact
776,downtown chicago,creative
777,generally friendly work,manufacturing delays
778,good welfare,industry average
779,systematic approach,the ibm x86 acquisition
780,telecommuting,long time
781,different time zones,global technology supply chains
782,risk taking,serious problems
783,dynamic,well over year
784,the sales floor,the point
785,the managers,large sales
786,fun events,many people
787,elsewhere,global supply chains
788,many years,supply chains
789,benefits overall,poor performance
790,unlimited,political issue
791,subject,ongoing
792,the newest technology,rumors
793,workplace,certain senior managers
794,the place,the problem
795,personal level,feedback
796,good work relationships,parking quick changes
797,this team,season
798,an entrepreneurial environment,global
799,free thinking,careers
800,new ways,poor support
801,the job,inside teams
802,big goals,be
803,competitive compensation,other companies
804,skilled,global hours
805,every effort,all the time
806,community involvement,china employees
807,global comprehensive,unrealistic
808,solution provider,goals
809,international environment,expectations
810,the laurels,no rhyme
811,ibm,reps
812,moto,lazy
813,anytime,jobs
814,solid base pay,same jobs
815,great management,whole
816,transparent great facilities,an
817,cafe,favorites
818,lab space,full time employee
819,fairly normal,others
820,younger people,brown nosing
821,the ones,barely metrics
822,business growth,some great
823,new opportunities,unrecognized
824,needs,the industry standard
825,innovative processes,the same role
826,collective goal,track
827,leadership market,the ability
828,share position,quota relief
829,high quality,individuals underachieving
830,sacrifice,tack
831,this place,the ones
832,back each other,penalizesthose employees
833,younger,the lasr program
834,here,good concept
835,an issue,paper
836,own business organization,highly disgruntled employees
837,attention,loyal employee
838,no longer,recent college grad
839,pc organization,no experience
840,strong leadership,the exact same role
841,history,great
842,encouraging strategy,the recent grad
843,top dc player,b2b sales
844,the executive ranks,experience
845,great global group,no opportunity
846,11,no desire
847,good company,cuts
848,new experience,imminent doom
849,alot,the cuts
850,doors,fresh ideas
851,other career paths,product direction
