,pro,con
1394,,hardware
1395,,solutions
1396,,15 hours
1397,,leave
1398,,executive mgt
1399,,the data center
1400,,zero
1401,,innovation
1402,,reliant
1403,,the innovation
1404,,zero marketing
1405,,long work days
1406,,stack
1407,,this moment
1408,,china team
1409,,frequent changes
1410,,vacations
1411,,the culture
1412,,tool usage
1413,,nonexistent
1414,,good place
1415,,killer
1416,,an expectation
1417,,late hours
1418,,late evenings
1419,,work distribution
1420,,many meetings
1421,,the business time
1422,,different directions
1423,,effort
1424,,boss
1425,,every time
1426,,vacation
1427,,real vacation
1428,,poor leadership
1429,,strategic plan
1430,,very lean company
1431,,management only
1432,,all hours
1433,,weekends
1434,,good work life balance
1435,,zero opportunity
1436,,double standards
1437,,no admin management support
1438,,proper
1439,,continuing education
1440,,dedication
1441,,the wrong people
1442,,higher positions
1443,,no clear long term strategy
1444,,new oppty esp
1445,,mobile business
1446,,lots good oppty
1447,,internal communication esp
1448,,the cross
1449,,work hours
1450,,start early
1451,,the morning
1452,,hours late
1453,,some management
1454,,touch
1455,,realities
1456,,the market
1457,,market size
1458,,alignment
1459,,poor early planning
1460,,constant
1461,,race
1462,,each quarter
1463,,wok
1464,,high executives
1465,,clear direction
1466,,mobile market
1467,,potential great opportunities
1468,,the boat
1469,,many times
1470,,the next trend
1471,,bets
1472,,the wrong trends
1473,,poor sales
1474,,talented leaders
1475,,the top
1476,,fake job openings
1477,,drive wages
1478,,rif citizens
1479,,engineering jobs
1480,,all decisions
1481,,limited field interaction
1482,,partnerships
1483,,nutanix
1484,,nimble etc
1485,,last year
1486,,bonuses
1487,,first time
1488,,certain business groups
