,pro,con
8424,leverage,you
8425,deals,future
8426,very good place,them
8427,initial,they
8428,experience,these things
8429,lot,career
8430,experienced people,conversations
8431,opportunity,these
8432,and,you
8433,good amount,they
8434,vacation,fact
8435,work life balance,this
8436,great co workers,the case
8437,diversity,it
8438,people,hope
8439,hour,you
8440,good work life balance,you
8441,project management,another year
8442,project schedule,you
8443,people,jobs
8444,balanced,you
8445,everyone,the managers
8446,each other,the job postings
8447,outstanding,months
8448,talent,closing
8449,the leading edge,preference
8450,deep resources,actual hires
8451,you,external people
8452,great benefits,internal people
8453,family friendly company,zero useful training
8454,great technology,they
8455,amazing,you
8456,work,it
8457,great training,you
8458,partners,you
8459,friendly environment,this job
8460,every team,you
8461,leads,sea
8462,collaboration,you
8463,colleagues,you
8464,freedom,new things
8465,wide range,the fly
8466,technology,this job
8467,flexible work schedule,call center
8468,coworkers,the
8469,top,you
8470,experience,customers
8471,ibm,this
8472,people,stressful environment
8473,work,all the time
8474,every project,you
8475,opportunities,them
8476,good depth,special
8477,technical talent,all
8478,great place,sev
8479,some experience,god forbid
8480,better company,you
8481,fellow ibm employees,either
8482,the spirit,functional blocks
8483,teamwork,you
8484,good people,the other blocks
8485,they,downtime
8486,lots,webexes
8487,name recognition,day
8488,great work environment,no recognition
8489,great people,all
8490,nice work environment,efforts
8491,great locations,you
8492,training,god
8493,you,technology
8494,yourself,one
8495,the first months,an eye
8496,the year,least
8497,every single year,all management
8498,the,you
8499,moratorium,this
8500,vacation,the wrong company
8501,you,you
8502,training,no
8503,every client,you
8504,employee,the beginning
8505,closing business,it
8506,company,you
8507,the world,col adjustment
8508,they,this
8509,toilet brushes ibm,hint
8510,,you
8511,huge company,it
8512,good place,scope creep
8513,basic skills,theory
8514,future,this job
8515,transformation,the customer
8516,they,practice
8517,it,you
8518,strong reputation,the
8519,long standing name,thousands
8520,large corporation,different companies
8521,variety,you
8522,facilities,vip
8523,employees,that customer
8524,good benefits,hints
8525,good people,the technical account managers
8526,middle level,you
8527,,you
8528,some interesting projects,them
8529,technology,it
8530,watson,you
8531,strong point,the reach
8532,available resource,the terms
8533,leader,service
8534,certain areas,management
8535,the best place,you
8536,you,ibm
8537,company,managers
8538,you,middle managers
8539,any domain,no idea
8540,job,the tech
8541,it,an additional link
8542,great company,the chain
8543,it,you
8544,space,something technical
8545,work life balance,them
8546,positive,something
8547,opportunity,you
8548,good work,the following
8549,life balance,you
8550,learnings,job
8551,maternity leave,you
8552,weeks,clock
8553,vacation,cruise
8554,training materials,clock out
8555,career opportunities,this
8556,flexible work,the job
8557,job,you
8558,no,this environment
8559,abundant training opportunites,you
8560,team atmosphere,you
8561,great job options,anything
8562,you,anything
8563,something,this
8564,there,the environment
8565,unlimited options,management
8566,great,they
8567,people,it
8568,colleagues,the customers
8569,ones skills,the priority
8570,great exposure,it
8571,corporate america,life
8572,benefits,hit
8573,reputation,you
8574,ability,the angry customers
8575,home,the lack
8576,hours,career progress
8577,strong base mac,management
8578,pro top notch,they
8579,parental leave,you
8580,supportive coworkers,you
8581,internal mobility,meat puppet
8582,strong push,them
8583,new skills,no mistakes
8584,platform,management
8585,people,all
8586,all,talent retention
8587,the world,you
8588,daily flexible,you
8589,wfh,they
8590,management,some college kid
8591,pay scale,no clue
8592,good unlimited sick leaves,ssh
8593,flexibility,this
8594,international business machines,great place
8595,an american multinational technology company,this
8596,excellent,horrible place
8597,remote flexibility,it
8598,compensation,sink
8599,name recognition,mentality
8600,overall brand,reorgs
8601,great people,you
8602,,anything
8603,the consulting organizations,yet
8604,good brand name,some
8605,lot,antiquated systems
8606,different types,sametime
8607,technology work,lotus notes
8608,one,recruitproc
8609,everything,everything else
8610,good,the company
8611,the every day people,things
8612,no good thoughts,
8613,this co,myself
8614,employees,large company
8615,great salary great benefits,some inefficiencies
8616,best people,disorganization
8617,,this company
8618,ibm,all means
8619,good job security,they
8620,you,you
8621,lots,an indentured servant
8622,opportunity,you
8623,responsibility,you
8624,access,hrs
8625,worldwide repository,high blood pressure
8626,new skill sets,insomnia
8627,domain knowledge expertise,this place
8628,large companies,the worst company
8629,impactful projects,
8630,global business,other buddies
8631,household name,mine
8632,corporate discounts,health problems
8633,competitive compensation,them
8634,you,they
8635,large team,no cons
8636,work,this time
8637,experienced people,the ax
8638,the salary,you
8639,they,standards
8640,an opportunity,the slip
8641,promotions,lot
8642,the company,rifs
8643,fridays,bonuses
8644,many meetings,years
8645,younger employees,you
8646,oldies,you
8647,lots,sales
8648,internal mobility,an executive
8649,decent pay,2019 ibm
8650,process,network
8651,good exposure,health coverage
8652,large matrix organisation,none
8653,large corporations,the plans
8654,projects,it
8655,accounts,they
8656,overall company,the plans
8657,great,ppo plans
8658,technology,the fine print
8659,company,you
8660,edge,100
8661,good work culture,pocket
8662,freshers,out
8663,experience,network coverage
8664,large organization works,the costs
8665,skilled colleagues,every year
8666,mostly collaborative environment,the coverage
8667,good,ibm
8668,you,work
8669,the right place,home
8670,this,an effort
8671,massive company,that option
8672,there,you
8673,lot,commute
8674,interesting opportunities,work
8675,good people,an open plan office
8676,great amount,picnic tables
8677,vacation days,desks
8678,lot,even coat closet
8679,free time,some locations
8680,work life balance,worse case
8681,free training programs,you
8682,year,wework
8683,great work,quite few
8684,clients,most
8685,one,the news
8686,the,the entire company
8687,intelligence,fading
8688,the world,terrible leadership
8689,business units,jobs
8690,they,the us
8691,the right leadership,the approach
8692,people,ibm
8693,the matrix,offshoring
8694,ibm,quota rules
8695,,no hr contact
8696,,benefits
8697,the world,stress
8698,the number,lack
8699,,acceptance
8700,,lousy salary increase
8701,patents,other bonuses
8702,ibm,lack
8703,decent salary,focus
8704,flexible work arrangement,job responsibilities
8705,flexible,employees
8706,401k match,hyper focus
8707,lot,stock
8708,productivity gains,price
8709,home,cost
8710,this,you
8711,the best arrangements,rating
8712,the industry,
8713,people,money
8714,interesting,stock
8715,challenging work,band promotions
8716,investors,review requirements
8717,great work,pay increases
8718,,facility conditions
8719,the opportunity,
8720,all,people
8721,software developer,campus
8722,the pay,facility
8723,there,strip
8724,an excellent,you
8725,anything,4
8726,here,an open area
8727,time,no privacy
8728,the ideal,no work areas
8729,great american company,lockers
8730,excellent work,poor work life balance
8731,life balance,baseline review
8732,pay,no raise
8733,benefits,you
8734,generous amount,medications
8735,vacation time,poor pay
8736,many,toxic politics
8737,great,layoffs
8738,intelligent,ras
8739,helpful people,any employee
8740,competitive benefits,it
8741,all,the end
8742,the world,each quarter
8743,great place,the yay
8744,skills,the company
8745,mainframe systems,it
8746,you,horrible place
8747,any job,you
8748,company,another offer
8749,ibm mainframes,the other offer
8750,that forum,you
8751,competitive pay,the long run
8752,decent work environment,the company
8753,opportunities,little
8754,new skills,low salary
8755,great company,not competition
8756,you,new one
8757,the right department,division
8758,great people,continuous
8759,great,matrix organization
8760,freedom,conflicting revenue
8761,any relevant research,top heavy
8762,great colleagues,work life balance
8763,them,new mothers
8764,resources,lack
8765,work flexibility,perks
8766,good care,clueless upper management
8767,women employees,not
8768,work,visibility
8769,home,no onsite manager
8770,some jobs,job
8771,projects,contract site
8772,methods,what
8773,any kinds,you
8774,systems,me
8775,great benefits,huge gap
8776,training,technologist
8777,some great colleagues,senior management
8778,comfortable,senior management
8779,decent autonomy,academic
8780,large company,bottom line
8781,some opportunities,rsus
8782,different locations,attitude
8783,environment,people
8784,ibm,things
8785,decent health,red tape
8786,401k benefits,no room
8787,ibm,advancement
8788,good pay,sometimes you
8789,good benefits,all
8790,some nice colleagues,the information
8791,access,you
8792,infinite resources,email
8793,excellent retention,the different initiatives
8794,big,you
8795,excellent parental leave,the company match
8796,benefits,the end
8797,teams,the year
8798,areas,each paycheck
8799,emerging technologies,most big companies
8800,flexible schedule,these days
8801,some good managers,lack
8802,great benefits,the quarterly goals
8803,vacation,the history
8804,parental leave,layoffs
8805,sick time,employees
8806,vacation,marketing
8807,opportunity,another part
8808,benefits,the country
8809,entry level employees,
8810,work,better job
8811,home,the move
8812,benefits,place
8813,women,so many
8814,employee allowances,opportunities
8815,recognition,sometimes the pay
8816,great depth,doens
8817,massive exenditire,match
8818,,the performance
8819,,bonuses
8820,flexibility,corporate communications
8821,you,poor project
8822,the people,management
8823,there,bureaucracy poor
8824,work environment,practices
8825,flexible hours,the best talent pay
8826,total,the area
8827,25 years,bad
8828,ibm,other tech
8829,the benefits,management team
8830,the people,there
8831,lots,clear sense
8832,resources,the old hierarchy system
8833,competitive pay,work
8834,the health benefits,many information
8835,average,employees
8836,,much
8837,match,say
8838,401,important decisions
8839,some,management
8840,the employees,an agile way
8841,network salary,processes
8842,other company,everything
8843,easy access,many processes
8844,diverse pool,ability
8845,technical resources,it
8846,good opportunities,an incoming cbd consultant
8847,career advancement,you
8848,benefits,project
8849,big company,few months
8850,large network,you
8851,awesome place,hunt
8852,it,projects
8853,big company,the bench
8854,lot,short period
8855,resources,time
8856,you,you
8857,advantage,pip plan
8858,great work culture,average pay
8859,no growth,the high level expectations
8860,an aggressive security,many restrictions
8861,portfolio services,it
8862,company good leadership,environment
8863,the security organization,lotus notes
8864,salary,the last
8865,it,they
8866,industry standard,outlook
8867,flexible hours,they
8868,decent,the cost
8869,the books,living
8870,benefits,they
8871,unlimited sick days,low wage
8872,you,entry level
8873,the option,band
8874,home,hour
8875,the area,you
8876,pro,another department
8877,you,it
8878,the middle,substantial pay increase
8879,nowhere,employee portion
8880,partnerships,medical benefits
8881,apple,the local area
8882,salesforce,ibm
8883,many jobs,model
8884,unlimited personal days,they
8885,manager approval,low cost resources
8886,many,bill
8887,the company,the client
8888,any talent,they
8889,40 years,they
8890,great people,low cost areas
8891,benefits,someone else
8892,locations,they
8893,inclusion,they
8894,cafeteria food,good talent outside
8895,one,this black hole
8896,different kinds,it
8897,technologies,the truth
8898,one,leadership
8899,marketable,foresight
8900,future endeavors,there
8901,flexibility,limited projects
8902,work hours,those
8903,working,data science
8904,home,you
8905,benefits,this category
8906,many many people,yourself
8907,technical skills knowledge,favor
8908,you,another firm
8909,great,the promotion process
8910,on,some practices
8911,great company,leadership
8912,competitive benefits,
8913,flexibility,leadership
8914,location,vision
8915,they,the next generation
8916,me,thought leaders
8917,paycheck,the org structure
8918,work environment,the course
8919,technological growth,couple
8920,salary,years
8921,home,half
8922,experience,
8923,the team,things
8924,,bit
8925,we,the acquisition
8926,great manager,constant fear
8927,good,cloud strategy
8928,decent pay,floundering
8929,lots,guess
8930,work job security,
8931,ibm,now
8932,new technologies,diy benefits
8933,areas,it support
8934,the business,one
8935,flexibility,an ant
8936,career growth,frequent mandatory training requirements
8937,new technologies,too many
8938,flexible timings,websites
8939,huge presence,senior management
8940,good people,employee moral
8941,company culture comradeship,huge layoffs
8942,strong top leadership diversity,no raise
8943,remote home office availability,few years
8944,great growth potential,another position
8945,chance,no cons
8946,complex solutions,rapid change
8947,educational resources,promotions
8948,,true recognition
8949,,self selling
8950,some rad stuff,company culture
8951,ibm,bit
8952,massive company,younger generation
8953,they,region
8954,,client service
8955,the us,it
8956,canada,the company
8957,china,you
8958,israel,hesitation
8959,it,it
8960,all kinds,high personnel rotation
8961,cultures,many thousands
8962,,very top heavy
8963,home,gbs
8964,lot,some areas
8965,the time zone differences,gbs
8966,ibm,you
8967,some,vp
8968,projects,vp
8969,they,vp
8970,there,them
8971,databases,gbs
8972,excellent presentations,you
8973,you,band 10
8974,yourself,lowest level
8975,new skills,management
8976,tradition,amount
8977,technology,
8978,there,the very most
8979,great people,annual bonuses
8980,the work,the most
8981,travel possibilities,it
8982,fuull,all
8983,benifits,the ability
8984,goof confidence,home
8985,the company,high productivity
8986,great,that
8987,colleagues,company
8988,company,diversity
8989,good benefits,practices
8990,nothing,place
8991,positive thing,that talk
8992,sales skills,recognition
8993,skills,the last few years
8994,strong sales,consistent layoffs
8995,new employee,company
8996,sales,this time
8997,best practices,more
8998,seasoned reps,tuition assistance
8999,good pay,employees
9000,opportunities,some areas
9001,company,it
9002,lot,advance
9003,employees,sometime
9004,new mac books,you
9005,hr,the ax
9006,the tools,company
9007,we,many management layers
9008,workday,distant
9009,travis,
9010,new employees,home
9011,decent market salary,this particular company
9012,it,the services units
9013,you,lot
9014,hot project,the cost cutting
9015,you,it
9016,emerging technologies,people
9017,teams,there
9018,latest tech,big shift
9019,then ibm,the demographic
9020,fun place,the company
9021,us,lot
9022,things,people
9023,the ground,involuntary separations
9024,any technology,the norm
9025,tools,large organization
9026,end,direction
9027,disclaimer,management
9028,,you
9029,this,self
9030,most people,person
9031,ibm,pay
9032,leader,you
9033,mine,good rating
9034,the company,
9035,new blood,nothing
9036,it,lots politics
9037,them,work
9038,the package,dated management
9039,they,some dated technology
9040,specially the salary,no annual
9041,you,no onboarding
9042,new parent,no engineering documentation
9043,ibm,poor collaboration
9044,,hostile work environment
9045,it,new one
9046,most people,he
9047,home,an
9048,fridays,he
9049,they,manager
9050,ibm,bully
9051,new hires,
9052,most new hires,no choice
9053,years,formal complaint
9054,global projects,hr
9055,great technology,the head
9056,smart people,the business unit
9057,great schools,any negative feedback
9058,interesting experiences,me
9059,the right path,the group
9060,edge,the only person
9061,tech,home
9062,team,the hiring manager
9063,manager,
9064,there,the only person
9065,the company,the group
9066,scam,specified hours
9067,they,witchhunt
9068,sugar,digital proof
9069,coat,it
9070,everything,anything negative
9071,flexibility,me
9072,work,it
9073,home,the witchhunt
9074,really nice team,the head
9075,times,the business unit
9076,benefits,employees
9077,good experience,me
9078,good territory,15 years
9079,co workers,different type
9080,work,engineering group
9081,there,qa
9082,lot,they
9083,people,that time
9084,you,court
9085,they,such an inappropriate tactic
9086,there,
9087,many opportunities,the company
9088,reach,the change
9089,they,management
9090,ibm,the group
9091,you,the next few months
9092,an employee,worst work experience
9093,credibility,
9094,you,36 years
9095,the resources,the industry
9096,you,companies
9097,an objective,all sizes
9098,the norm,management
9099,,suggestions
9100,that,management overhead
9101,this place,technical skills
9102,you,salary
9103,difficult people,very
9104,it,it
9105,company,network providers
9106,an awesome culture,ibm
9107,cons,parts
9108,huge network,the business
9109,great benefits,resource actions
9110,the company,multiple times
9111,any,year
9112,benefits,great place
9113,awesome people,way
9114,the right division,
9115,all,ibm
9116,hunky dory,many years
9117,there,the culture
9118,times,the good
9119,the merger,the executives
9120,we,the individual employee
9121,it,quarter
9122,coaching,quarter
9123,great company,the stockholders only
9124,you,they
9125,new product,that
9126,strategic department,the employees
9127,growth opportunities,better results
9128,internal job transfer,better profitability
9129,work,the shift
9130,home,the past couple
9131,salary,years
9132,the work,lot
9133,no one,damage
9134,you,morale
9135,good,those
9136,good work,it
9137,home policy,the career
9138,the world,ibm
9139,you,the linkedin article jan
9140,wide range,9th
9141,products,the new year
9142,they,the fall
9143,etc,another iconic american brand
9144,you,there
9145,wide range,little
9146,customers,the company
9147,free parking,people
9148,the corporate building,one
9149,good health benefits,bullseye
9150,both men,one
9151,global company,the morale
9152,good benefits,colleagues
9153,talented work force,flies
9154,people,part
9155,ibm research,quiet layoffs
9156,cambridge office,good people
9157,great work space,just dead wood
9158,natural light,no motivators
9159,partnerships,job
9160,mit,no
9161,great,yearly pay increase
9162,good balance,you
9163,academic,raise
9164,access,stellar work
9165,higher ups,you
9166,strong sense,great reviews
9167,they,the same salary
9168,me,year
9169,year,year
9170,friendly environment,you
9171,great work culture,essence
9172,experience,less money
9173,corporate training opportunities,inflation
9174,great team,cost
9175,people,living
9176,company,each year
9177,organization,
9178,structure,ibm
9179,flexibility,10 years
9180,opportunities,100k
9181,breadth,great reviews
9182,the company,ibms
9183,nice manager,client base
9184,flexible,technical position
9185,schedule,the 10 years
9186,flexible research environment,
9187,flexibility,couple 1200
9188,convenience,bonus
9189,collaboration,
9190,members,one
9191,advanced technologies,pay increase
9192,great team,10 years
9193,great benefits,
9194,great resources,essence
9195,great people,17
9196,you,
9197,internal network,it
9198,great benefits,10 years
9199,work,the same amount
9200,lot,bills
9201,smart people,year
9202,ibm,year
9203,employee learning,burnout sets
9204,employees,the
9205,40,company
9206,personal,this
9207,this requirement,you
9208,,managers
9209,webinars,the practices
9210,an array,everyone
9211,topics,the fire
9212,you,low compensation
9213,this goal,lot
9214,books,travel
9215,conferences,it
9216,professional webinars,good job
9217,opportunities,great people
9218,you,lost
9219,technical skills,
9220,short supply,inefficient system
9221,ibm,lots
9222,travel,pressure
9223,career development,less salary
9224,knowledge gain,company
9225,etc,promotions
9226,lot,little
9227,opportunities,no investment
9228,new technology,legacy product line
9229,good pay,good revenue
9230,great people,travel policies
9231,flexibility,account
9232,work,the strain
9233,huge learning prospect benifits,the employee
9234,great culture,coach
9235,coworkers,20 hours
9236,projects,customer engagement
9237,lots,bruta
9238,opportunities,one
9239,great work culture,ft
9240,diverse,bonus plan
9241,gain experience,employees
9242,the large company,non sales role
9243,salary,much customer interaction
9244,times,conference call
9245,the performance bonuses,face
9246,tremendous opportunities,much time
9247,training,new product
9248,career growth,the door
9249,industry leading,company
9250,innovative applications,accountants
9251,talent,innovation
9252,positive candidate experiences,typical competition
9253,tenured colleagues,challenges
9254,you,pressure
9255,you,none
9256,the appropriate access,this time
9257,tools,new hire
9258,work environment,leadership
9259,opportunities,some areas
9260,colleagues,company
9261,the offerings,verticals
9262,they,red
9263,decent salary,policies
9264,bonus,management style
9265,home overall,employee
9266,you,data
9267,you,papers
9268,very good work,short term
9269,culture,
9270,good work life balance,clients
9271,there,no
9272,some good people,job
9273,product,security
9274,training,it
9275,customer satisfaction,you
9276,women,the company
9277,good environment,the end
9278,peers,you
9279,we,number
9280,many challenges,guess
9281,the clients,all big corporate america companies
9282,we,sales management
9283,partner,panicked state
9284,the relationships,the time
9285,trust,gts leadership
9286,mutual respect,professionalism
9287,formerly great company,times
9288,good knowledge sharing,tough news
9289,ibm,tons
9290,great company,sale
9291,another face,no training
9292,innovations,them
9293,impact,dynamic organization
9294,world,change
9295,it,account assignments
9296,great work culture,the benefit
9297,tremendous opportunities,raise
9298,job,there
9299,digital offerings,an opening
9300,you,
9301,the technology,eight manager changes
9302,it,20 months
9303,ibm,company
9304,great opportunities,it
9305,all domains,structure
9306,you,clients
9307,the challenge,maximum value
9308,great work life balance,execution
9309,you,client acquisition
9310,great fellows,major
9311,ibm,staff motivation
9312,books,worst prognosis
9313,you,decaying
9314,benefits,disbanding
9315,line,biggest flaw
9316,better,no brand identity
9317,industry standards,differences
9318,it,vacation benefits
9319,one,it
9320,the best companies,it
9321,lots,profit
9322,opportunities,people
9323,you,it
9324,the size,decent pay
9325,the challenges,living
9326,the use,rochester
9327,edge technology,it
9328,ibm,money
9329,revenues,there
9330,costs,opportunities
9331,many,the ladder
9332,the company,management
9333,ability,they
9334,home,you
9335,name brand,they
9336,entry level resources,you
9337,policy,them
9338,employees,it
9339,essential operations,there
9340,exposure,an extreme lack
9341,,women
9342,technologies,the pay
9343,progressive values,opportunities
9344,strong support,they
9345,equality,it
9346,the workplace,they
9347,on,you
9348,good,the job
9349,stable income,there
9350,great flexibility,no overtime
9351,there,the
9352,opportunities,week
9353,nearly anything,you
9354,ibm,the turn around
9355,,employment
9356,the beneficiary,anywhere else
9357,many good managers,the area
9358,programs,most people
9359,,no
9360,other,food
9361,the time,the middle
9362,ibm,nowhere
9363,,you
9364,new hires,company
9365,they,they
9366,you,you
9367,an enterprise company,they
9368,,trouble
9369,this program,stock holders
9370,it,not meeting expectations
9371,you,most quarters
9372,college context,the company
9373,ibm,
9374,company culture,they
9375,people,solutions
9376,,them
9377,some,staff
9378,the best,they
9379,they,areas
9380,the ability,this
9381,talent,deals
9382,additionally,companies
9383,,huge loss
9384,extensive room,pto
9385,ibm,poor
9386,us,large numbers
9387,sessions,retirees
9388,example,large company beaucracy
9389,github,beauracracy
9390,conferences,process
9391,teammates,numbers
9392,,matrix organization
9393,contributions,ibm
9394,you,it
9395,the right team,it
9396,the company,them
9397,the opportunities,large
9398,,cold
9399,washington,heartless
9400,dc,an employee
9401,this review,the next quarter
9402,public sector consulting,bean counters
9403,private sector,those decisions
9404,,one
9405,good amount,the last quarter
9406,responsibility,layoff
9407,managers,times
9408,me,people
9409,deadlines,management dont care
9410,it,the company
9411,large company,profit
9412,there,several quarters
9413,regular discussions,row
9414,options,cancelation
9415,growth,layoffs
9416,the company,you
9417,benefits,the company
9418,many low fee index funds,there
9419,the 401k,project database
9420,there,you
9421,lots,any project
9422,happy hours,you
9423,networking opportunities,dis
9424,week,functional
9425,good place,bloated management structure
9426,great co workers,the company
9427,positive growth,more time
9428,talented team,new ones
9429,wide breadth,the compensation
9430,technology areas,nichts
9431,company,different time zones
9432,leader,less pay
9433,tech,growth rate
9434,research,no vision
9435,power,process
9436,house,no focus
9437,values,excellence
9438,great work,switch
9439,life balance,less visibility
9440,lots,management
9441,growth opportunity,excitement
9442,lots,rochester
9443,money,mn
9444,people,job opportunities
9445,benefits,growth
9446,technologies,the company
9447,mobility,technology innovation
9448,the company,there
9449,the culture,no consistency
9450,it,they
9451,,territories
9452,one team,managers
9453,another,they
9454,another,good people
9455,different leadership,combination
9456,excitement,number
9457,watson,things changing
9458,it,this tough place
9459,research effort,low level
9460,an entire product group,employee appreciation
9461,first team,frequent
9462,the watson cto org,resource actions
9463,special projects group,senseless drive
9464,innovation,cost
9465,an edgier company culture,services
9466,second team,consideration
9467,research efforts,quality
9468,exciting projects,the promotion
9469,great mentoring,no bonus
9470,me,wage increase
9471,an engineer,very very slow
9472,fantastic,you
9473,etc,the
9474,paternity leave,promotion
9475,roles,too many changes
9476,other divisions,the sales organization
9477,the brand,you
9478,it,frequent manager changes
9479,meetings,too
9480,,people
9481,lot,project mangers
9482,money,the workforce
9483,great,ibm
9484,kind,there
9485,helpful employees,enough workers
9486,the nyc wework office,the projects
9487,fun culture,they
9488,good place,the
9489,light work pressure,the project
9490,variety,development centers
9491,projects,own set
9492,opportunities,rules
9493,the people,pay
9494,you,local industry average
9495,caring,sometimes boring
9496,the job right,products
9497,the term,pay
9498,respect,you
9499,the individual,the shuffle
9500,employees,the yearly reorg
9501,con,you
9502,work life,the execs
9503,balance,you
9504,work,you
9505,,the size
9506,any pros,the place
9507,it,the culture
9508,terrible experience,the company
9509,spans,teamwork
9510,technical areas,you
9511,,others
9512,any pros,bureaucracy
9513,this company,large corporation
9514,they,extra work
9515,great company,frustration
9516,the people,promotion
9517,the trenches,less salary
9518,,company
9519,few ibm india employees,market share
9520,challenging projects,key areas
9521,good people,
9522,loads,anything
9523,opportunity,culture
9524,they,innovation
9525,work life balance,lots
9526,great,chaos
9527,lots,nothing
9528,room,this
9529,the company,the salary
9530,great connections,micromanagement
9531,easy hours,times
9532,easy work,career growth
9533,smart coworkers,the demand
9534,good extended benefits,technology markets
9535,family leave,the marketing strategy
9536,financial assistance,many departments
9537,work,creativity
9538,home policy,design
9539,friends,it
9540,work,good experience
9541,least communities,ibm
9542,the customer,ibm
9543,excellent teamwork,not bad place
9544,great leadership,you
9545,incredible opportunity,you
9546,fantastic place,the pay
9547,company,the main reason
9548,power,we
9549,smart,ibm
9550,work,the employees
9551,many opportunities,the application developer role
9552,learning,lowly peon
9553,working,the company money
9554,awesome people,you
9555,brand,massive company
9556,leverage,slow
9557,customer,systems
9558,smart people,terrible culture
9559,super nice people,offshore devs
9560,work life balance,slow promotions
9561,good work,unclear career path
9562,home options,poor salesforce education
9563,certain projects,no encouragement
9564,lot,certifications
9565,exposure,low salary
9566,different industries,poor bonus structure
9567,leadership styles,design manager
9568,travel perks,work
9569,good comp,10
9570,great oppurtunities,designer
9571,it,software engineers
9572,place,
9573,you,it
9574,the results,release
9575,this year,project
9576,one,there
9577,the finest hotels,no
9578,punta cana,some
9579,ibm,unfair pay structure meaning
9580,all,colleagues
9581,there,same department
9582,,same exact responsibilities
9583,as much support,they
9584,colleagues,
9585,me,time
9586,ibm,
9587,you,the pay structure
9588,the brightest,yes
9589,you,
9590,ibm,team contributor
9591,company,team collaborator
9592,itself,subject matter expert
9593,not only,multiple systems
9594,it,an education facilitator
9595,leadership position,
9596,100 years,more
9597,good culture,
9598,career opportunities,karma
9599,advancement,the team
9600,great internal,lots
9601,big company structure,internal politics
9602,small company,progress
9603,work,poison
9604,home,an
9605,many roles,future opportunities
9606,flexibility,they
9607,work,poor pay
9608,good team work,the high living
9609,great managemen,the bay area
9610,good benefits,travel
9611,excellent people,high utilization requirements
9612,there,full time clients
9613,sense,business development
9614,the company,no cons
9615,some,now
9616,the strategic shifts,they
9617,the company,me
9618,flexible work timings,terrible boss
9619,supportive management,hr
9620,the environment,much
9621,great technology,eventually
9622,great,multiple promotions
9623,everyone,the process
9624,the team,case
9625,each other,each level
9626,flexibility,it
9627,good work culture,lots
9628,work culture,uncertainty
9629,team,job safety
9630,lot,too
9631,benefits,changes
9632,other companies,market strategy
9633,work life balance,finance
9634,growth opportunities,customers
9635,employees development,ibm
9636,management,systemic strategy
9637,stress,youth
9638,lots,experience
9639,education,technology
9640,flexible work hours,commute
9641,ability,long hours
9642,home,layoff
9643,supportive,they
9644,great,contract
9645,amazing teamwork,walgreens
9646,peers,they
9647,goals,hmo
9648,willingness,an insurance option
9649,team,
9650,them,cortisone injection
9651,benefits,high costs
9652,opportunity,they
9653,travel,this
9654,lots,good conscious
9655,resources,guess
9656,leverage,they
9657,the people,deal
9658,there,sale
9659,lots,anthem
9660,different roles,low salary
9661,variety,poor management communication
9662,work,quarterly lay offs
9663,travel,sales
9664,you,low
9665,it,pay
9666,benefits,master
9667,extensive portfolio,politics
9668,software brands,much growth
9669,variety,much bureaucracy
9670,ibm,the restructuring process
9671,,some times waste
9672,one,time
9673,the best,some times
9674,the market,resource actions
9675,ibm,short term targets
9676,broad capabilities,management spreads resources
9677,the benefits,enough resources
9678,energy,project
9679,learning,name
9680,resources,no amazing
9681,good pay,no bonus
9682,great people,years
9683,reward,poor morale layoffs
9684,performance,it
9685,the company,
9686,large company,different divisions
9687,good life balance,loggerheads
9688,top,not much training
9689,enterprise cloud,advancement
9690,cognitive business,pay
9691,amazing company,both freshers
9692,culture,management
9693,innovation,30 crowd
9694,continuous transformation,the people
9695,leader,work
9696,blockchain,place culture
9697,strong position,other companies
9698,the battle,
9699,the cloud,ibm
9700,salaries,beware
9701,the industry,you
9702,there,health insurance
9703,endless opportunities,management exploits
9704,the company,employees
9705,nice people,no real concern
9706,hands,employee
9707,leadership,arbitrary measurement systems
9708,many more benefits,bonus metrics
9709,overall great company,the
9710,none,technology outsourcing
9711,company name regonition,long hours
9712,amazing challenges,travel
9713,flying underground,client location
9714,the,client
9715,talented people,reorganizations
9716,great benefits,every january
9717,work life balance,customer disruptions
9718,great team,not enough part
9719,lots,time options
9720,room,headcount
9721,relationship,expense challenges
9722,client,lack
9723,the developer,revenue growth
9724,very systematic,lots
9725,work life balance,change
9726,latest technologies,no clear direction
9727,challenging work,you
9728,this position,dept
9729,lot,low importance
9730,talented people,there
9731,lot,better focus
9732,management approach,employees
9733,the employees,lots
9734,wfh option,time
9735,lot,designs
9736,the beginning,you
9737,great pay,heavy corporate politics
9738,experience level,the office drama
9739,great,100
9740,home,20
9741,networking opportunities,all
9742,great atmosphere,the same open office
9743,high salaries,distraction
9744,you,every project
9745,good 401k,savings
9746,match,the radar screen
9747,benefits,vp
9748,good enough brand,it
9749,there,it
9750,few smart people,new projects
9751,the experience,green belts
9752,lots,program
9753,flexibility,favor
9754,work life balance,digital approaches
9755,experience,savings
9756,innovation,management
9757,great work environment,humanity
9758,wfh too,glass ceiling
9759,good work,professional growth
9760,life,you
9761,balance,an approved
9762,freedom,the hubs
9763,you,
9764,ability,this strategy
9765,mobile,the company
9766,project,whole
9767,course,the terms
9768,salary,technology
9769,technology,this
9770,they,some tension
9771,lot,it
9772,research,the company
9773,good entry level pay,
9774,extremely flexable schedule,any negative experiences
9775,lovely work space,benefits
