,pro,con
326,uninterrupted time,the wrong direction
327,resources,they
328,you,one summer
329,good,most
330,flexible work environments,them
331,management,year
332,interesting clients,there
333,projects,enough projects
334,teamwork,the pipeline
335,great projects,staff everyone
336,most,early career roles
337,the time,communication
338,good culture,leadership
339,good co worker,organization size
340,lots,feedback
341,good projects,managers
342,motivated team,while
343,career growth,decision making
344,skills growth,some
345,great support systems,most
346,fair pay,lack
347,easy access,support
348,management,hours
349,opportunities,no
350,work,outside tech
351,environment,lack
352,pay,transparency
353,great company,lots
354,excellent work culture,corporate politics
355,flexibility work,the team
356,home,
357,culture,anything
358,leadership,that
359,hard working culture,times
360,traditional progression,work
361,rewards,women
362,love ibm,very
363,,company
364,,no frills
365,the perfect,
366,growth,any cons
367,the culture,now
368,woderfull,months
369,great collaboration,year
370,colleagues,billable work
371,the best place,clients
372,the environment,an abundance
373,it,people
374,,government subsidy
375,ibmers,projects
376,each other the,pay
377,the job,support
378,amazes,beauracracy
379,me,no upward mobility
380,the most,no salary increase
381,there,you
382,classes,maybe
383,it,you
384,current technology,salary
385,you,bonus
386,good salary,week worth
387,benefits,salary
388,vacation,you
389,early professionals,cost center
390,new grad,sales
391,good benefits,no cons
392,the board,this company
393,the salary,such
394,rest,dysfunctional upper management
395,culture,lower
396,friendly people,management too
397,benefits,total lack
398,people,common sense
399,experience,business procedure
400,brand name,procurement
401,the company,etc
402,the company,little
403,reputation,career advancement
404,it,it
405,the job,huge company
406,some days,you
407,boring,it
408,some days,you
409,the people,it
410,remote work,none
411,lots,bit
412,opportunities,weird office environment
413,flexible work schedule,managers
414,decent benefits,home
415,interesting challenges,home
416,huge company,high level
417,ibm,hypocrisy
418,great job,apathy
419,communities,no training
420,the organization,no communication
421,everyone,every man
422,great perks,himself
423,the company,no support
424,place,bureaucracy
425,lot,little
426,nice peers,the company
427,great atomsphere,sales
428,managers,no
429,police,wages
430,the time,lots
431,great culture,overtime
432,the team,there
433,ibm,this area
434,an,career path
435,lots,you
436,opportunities,changing roles
437,new technologies,no incentive
438,certifications,you
439,the company,experience
440,great place,good work ethic
441,career,bit
442,great people,slow
443,lots,political some times
444,resources,remote work
445,expertise,not much culture
446,employees,hierarchy structure
447,the company,communication
448,you,things
449,lot,market needs
450,things,little direction
451,digital innovation,company
452,ethics,executive leadership
453,cloud strategy,the company
454,nice,this point
455,flexible schedule,technologists
456,home,financial compensation
457,deep pool,industry standard
458,talent,huge bureaucracy
459,there,toxic culture
460,some amazing people,huge bureaucracy
461,layers,toxic culture
462,hierarchy,mindless dedication
463,good culture,immediate revenue recognition
464,very professional,all decisions
465,work life balance,short term
466,fellow employees,the delivery organization
467,culture,the mess
468,respect,the sales
469,management,them
470,not much effort,constant company layoffs
471,fair salary,no bonuses
472,not much effort,no
473,fair salary,company
474,you,changes
475,elsewhere,it
476,flexible environment,time
477,opportunity,just number
478,home,the quality
479,lots,matters
480,opportunities,it
481,room,the right place
482,business,everyone
483,unit,nothing else matters
484,it,the underhandedness
485,great company,hierarchical culture
486,all employees,it
487,it,us
488,digital,big
489,experience design work,speed
490,more interesting spectrum,team
491,digital consulting,heavy management structure
492,tech implementations,slow execution
493,good pay,none
494,you,
495,seller,limited
496,lots,growth
497,opportunity,opportunities
498,great team,management position
499,good training,opportunities
500,flexibility,leadership
501,hours,management
502,work,the outside world
503,you,too
504,technology implementations,lifers
505,ledge,lack
506,transformative,training
507,very friendly environment,the job duties
508,culture,bitterness
509,good work,ibmers
510,life balance,the difficult times
511,agile environment employees,poor leadership
512,opportunities,the surface
513,skills,conflicting
514,really,willingness
515,people,certain facts
516,you,roadblocks
517,the teams,certain roles
518,you,processes
519,flexibility,it delivery
520,cio organization,company
521,company,skilled employees train
522,many areas,coach
523,the last few years,them
524,it,the appearance
525,working time,certain
526,the name,practices
527,some good will,no stcok
528,the company,no bonus
529,coast,all
530,ages,
531,long term contracts,the mission statement
532,lot,the ceo
533,2005,the stock price
534,culture,
535,great top experts,that
536,several fields research mentality,it
537,good funding,that way
538,culture,the mission
539,all,about
540,great talent,happy customers
541,nice,great technology
542,curious people,the best
543,worldwide reach,the employees
544,some biz transformations,it
545,the future,it
546,ibm,everyone
547,benefits,40
548,tons,them
549,resources,fresh graduates
550,teammates,ibm
551,projects,actions
552,hours,massive layoffs
553,schedule,severance packages
554,very,one week pay
555,company,each year
556,opportunity,company service
557,different areas,they
558,different experiences,max
559,salary,30 days
560,benefits,no matter
561,great work atmosphere,guess
562,positive workforce,it
563,lots,folks
564,resources,decades
565,ability,dedication
566,customer problems,they
567,various technology offerings,some spirit
568,services,new management
569,ability,
570,super smart people,job
571,amazing technology impact,
572,clients success,few years
573,many opportunities,lack
574,new tech,focus projects
575,good base packages,nowhere
576,as,no real use case
577,schedule flexibility,non existing nails
578,company culture,comp
579,more,researchers
580,ethics,industry
581,work life balance,computer scientists
582,technology expertise,engineers
583,nice place,they
584,incentives,ways
585,locations,ibm
586,challenging,excellent qualifications
587,work,lack
588,good starter job,bias
589,easy environment,action
590,work life balanec,bureaucracy
591,big company,pay
592,lots,market
593,smart people,you
594,many places,number
595,solid benefit package,spreadsheet
596,ibm,you
597,incredible opportunity,yourself
598,career longevity,the day
599,great place,
600,great people,lack
601,good benefits,communication
602,work lot,upper management
603,training options lot,incentive
604,travel,compensation
605,good place,practices
606,great pay,gbs
607,good salary,many
608,very collaborative,layoffs
609,environment,every time
610,kind,there
611,large investment,layoffs
612,good work,the ones
613,projects,the extra workload
614,big teams,the people
615,multiple technologies,burnout
616,lots,it
617,resources,you
618,managers,many many reorgs
619,big internal network,the changes
620,global exposure,any sense
621,smart people,cult
622,interesting work,culture
623,easy work hours,frauds
624,autonomy,you
625,flexible work time,decks
626,good company,anything
627,lots,vp
628,potential,this
629,great,good fit
630,entry level folks,you
631,they,great place
632,new hire batches,the motions
633,people,the word
634,they,the
635,boost,you
636,them,growth potential
637,them,information
638,training,customer
639,them,levels
640,project,people
641,clients,information
642,ibm,compensation
643,good place,times leadership
644,less work pressure,no bonus
645,flexible timings,rsus
646,you,no pension
647,exciting projects,proper planning
648,work life balance,ibm
649,huge company,matching
650,lots,the past
651,opportunities,90
652,there,insurance
653,good work life balance,family
654,people,company
655,issues,employees
656,overall processes,early
657,amazing history,50
658,potential,55
659,technical achievements,hardware
660,flexibility,no perks
661,work life balance,no recognition
662,decent pay,work
663,good worklife balance,some organizations
664,you,combative culture
665,super,managers
666,you,things
667,the right opportunities,it
668,tangent roles,they
669,you,
670,the name,people
671,on,they
672,respect,all the time
673,culture,the layoff package
674,fantastic benefits,month pay
675,competitive pay,almost
676,big name company,remote teams
677,ibm,lots
678,the company culture,competition
679,there,advancement opportunities
680,endless resources,marketing organization
681,new skills,nothing
682,existing ones,too
683,the internal mobility,many changes
684,plus,the name
685,some people,agile
686,they,joke
687,one position,the end
688,they,you
689,the business learning,lemmings
690,new experience,desks
691,them,headphones
692,professionals,conference
693,,most
694,work,the day
695,example,shoulder
696,,overtime
697,input,work work life balance
698,team meetings,this place
699,,poor work
700,,environment
701,heart,poor culture
702,lot,disorganized practices
703,help,hostile managers
704,you,partners
705,flexible work schedule,too many
706,management,not enough
707,plenty,large org
708,training,bench period
709,flexibility,they
710,work life balance,you
711,work,resource action
712,home,bit
713,benefits,times
714,good salary,overtime
715,benefits,bad
716,region,management
717,work form home,hiring standard
718,experience,the bar
719,challenges,lot
720,great respect,hoops
721,people,you
722,it,you
723,growth,new employees
724,company,which project
725,good,they
726,directors,some projects
727,good leaders,that much work
728,place,work
729,care,micro management issues
730,there,other issue
731,clear target,compensation
732,each quarter,some times
733,year,extra hours
734,growth,salary
735,strong,peers
736,work,culture
737,you,home
738,lot,the work
739,lessons,upper management
740,lots,line
741,ownership,front line
742,product great benefits,pros
743,flexibility lots,business results
744,good people,competitive salary
745,eap visits,other companies
746,incident,the industry
747,the biggest pro,internal politics
748,entry level financial analyst,no career growth
749,ibm,the company over
750,the ibm name,entry level roles
751,other,places
752,that,you
753,many benefits,you
754,this finance center,the areas
755,ibm,you
756,great technology,they
757,the support staff,the opportunity
758,educated folks,all
759,great,lack
760,benefits vacation,business focus
761,sick leave,bureaucratic focus
762,ability,compliance
763,teams,the detriment
764,reputable company,business
765,good compensation everyone,audits
766,the company,audits
767,,audits
768,super nice work,ibm
769,home,there
770,fridays,many business units
771,excellent benefits,parts
772,easy work,it
773,environment,this business
774,many different organizations,
775,developer,time
776,many different technologies,
777,lots,the apprenticeship program
778,smart guys,quite bit
779,you,ways
780,there,
781,minimal,
782,management,part
783,pay,it
784,lots,that
785,opportunities,
786,senior leadership,ibm
787,conferences,more training
788,great opportunities,apprentices
789,ambitious projects,people
790,good,the role
791,compensations,videos
792,friendly environment,the brain
793,the people,changing things
794,clients,the mind
795,environment,sink
796,hours,mentality
797,management,some required training
798,micromanagers,pertain
799,flexibility,role badges
800,,ibm
801,work,compensation
802,many opportunities,lot
803,management,work culture
804,employees,constant fear
805,good people,layoff
806,innovative,relocation
807,great company,nature
808,nice work environment,work
809,great innovation,project management principles
810,good people,fire
811,the trenches,aim
812,great benefits,training
813,insurance,engagement
814,good projects,you
815,lot,too
816,opportunity,layoffs
817,excellent learning opportunities,every time
818,process,there
819,company,layoffs
820,great work life balance,the ones
821,you,the extra workload
822,the right spot,the people
823,good pay,high stress
824,benefits,constant fear
825,the pay,career path
826,the benefits,csm group
827,you,training
828,ibm,targets
829,alot,reports
830,different teams,etc
831,the globe,benefits
832,lots,line
833,ways,large company
834,industry leader,the benefits
835,numerous advanced analytics services,network
836,fast paced environment,role
837,great training,vision
838,entry,bureaucracy
839,level,things
840,positions,pay benefits
841,flexibility,year
842,independent,ll
843,plenty,company
844,resources,term life
845,lots,you
846,training,an active employee
847,good place,no career growth
848,global policies,poor management
849,proper structure,the managers
850,flexible hours,the finance center
851,average lot,little
852,good people,no training
853,this company,they
854,an team,financial analysts
855,environment,the company
856,many employees,they
857,ten,no experience
858,years,managing employees
859,team members,time
860,extended family,the
861,one another,you
862,opportunity,no control
863,experience,the first
864,federal sector,ibm
865,there,full control
866,lot,any
867,potential,you
868,new,there
869,developing areas,no internal job
870,the watson,some employees
871,machine learning space,the bench
872,tons,you
873,different technologies,no job
874,play,
875,you,netflix
876,huge impact,poor work culture
877,you,older employees
878,the company,entry level employees
879,benefits,any recognition
880,it,some employees
881,any big company,nothing
882,business units,the current way ibm
883,job functions,manager
884,work experience,they
885,team members,peole
886,supports,no experience
887,skills,the industry
888,work training,the roles
889,eduction,this
890,career growth,unhappiness
891,great name,the staff
892,some,job
893,no travel,pto
894,federal practice,lack
895,work,bonuses
896,work,lot
897,ibm,middle management
898,nothing,low salaries
899,amazing benefits,no upward movement
900,flexible work hours,cant
901,responsive management,there
902,multinational company,con
903,different opportunities business,all clients
904,year,large businesses
905,existence friendly workers,technologies
906,failing projects,2b businesses
907,while,2c tech
908,the,the project
909,block,the west
910,ideal,promotion
911,plan,later moves
912,things,no upward mobility
913,you,ibm research
914,new job,promotions
915,easy company,while
916,exposer,you
917,many product areas,any moment
918,great pay,
919,door,pay
920,ibm,
921,some,industry
922,the smartest,leadership strategy
923,,the chain
924,it,benefits
925,dope place,lots
926,people,international travel
927,setting,ibm bids
928,pay,international contracts
929,work,many
930,environment,the us
931,good life balance,technology partners
932,they,market dynamics
933,you,none
934,fresh,decisions
935,college,high level
936,train,interest
937,you,employees
938,you,massive corporation
939,project,bureaucracy
940,good people,growth
941,work environment,corporate politics
942,the amount,way
943,money ibm,the organization
944,education,nothing
945,the future,cons
946,it,benefits
947,strategic vision,they
948,there,bonus
949,tons,us
950,education opportunities,an explanation
951,the company,annual bonus
952,remote work,we
953,exemplary opportunities,one
954,advancement,2019
955,better work,ceo mace
956,life balance,years
957,flexibility pay work,there
958,home,that
959,the people,fast
960,not much work,pace
961,lots,load
962,money,management
963,th,management
964,ibm research innovative strategies,structure
965,industries,poor morale
966,flexible schedules,sometimes it
967,it,certain projects
968,the amount,no raise
969,people,bonuses
970,you,top people
971,home,most
972,there,promotions
973,400k,technology direction decisions
974,them,waste
975,the world,technology acquisitions
976,you,little
977,this,no raise
978,crash course,cog
979,almost business degree,the machine
980,the inner workings,salary
981,,industry standards
982,the terminology,you
983,the bureaucracy,low key
984,networking,great knowledge
985,general,real contributor
986,lack,the business
987,movement,the new ibm
988,the organization,the new breed
989,good work life balance,management
990,some smart people,this
991,there,any company
992,some interesting projects,ibm
993,work life balance,budget
994,the only benefit,staffing adjustments
995,ibm,extreme lack
996,you,vision
997,work,employees
998,home,one
999,work,another leading
1000,week,dysfunction
1001,all year,megacorp
1002,this,it
1003,major perk,long time
1004,people,things
1005,35,there
1006,plan,lot
1007,the company,red tape
1008,demise,ibm
1009,the next two decades,stalling
1010,they,salary sand benefits
1011,thing,other technology firms
1012,the company,too many resources
1013,the pay,very little actual work
1014,great learning opportunity,managers
1015,early career,work
1016,the benefits,them
1017,the people,ill treat employees
1018,large variety,they
1019,projects,full time staff
1020,global exposure,older employees
1021,technical learnings,real career growth
1022,career,you
1023,mobility,large portion
1024,good place,managers
1025,great benefits,roles
1026,vested 401k,they
1027,,the bureaucracy
1028,employment,there
1029,good health benefitsm etc,nothing anyone
1030,strong,it
1031,sr,intro year program
1032,leadership,an intro program
1033,changes,project
1034,new technologies,federal
1035,projects,you
1036,good benefits,one
1037,one,
1038,the oldest tech companies,years
1039,the world,higher ups
1040,methodology,the numbers
1041,brand recognition,client satisfaction
1042,challenge,not good place
1043,variety,pay
1044,they,tough
1045,value design,metrics
1046,an entire career ladder,change
1047,designers,inconsistent priorities
1048,edge,false sense
1049,research,entitlement
1050,many,we
1051,projects,
1052,large impact,
1053,successful,100 years
1054,solid job,we
1055,security,that
1056,decent salary,teams
1057,it,outdated model
1058,job,impress
1059,good products,financial goals
1060,good training flexibility,less support
1061,good work life balance,senior management
1062,good work life balance,not dynamic
1063,relatively good place,talent
1064,great people,lower levels
1065,lot,no cons
1066,smart people,this time
1067,great learning resources,me
1068,the customer,no leadership
1069,huge international company,no strategy
1070,home,number
1071,the memories,senior
1072,it,leadership
1073,an,favoritism
1074,great company,to
1075,technical people,the tech
1076,,low pay
1077,project,other company
1078,,employee
1079,large company,the company
1080,lots,you
1081,different things,choice
1082,lots,you
1083,smart people,project
1084,love,you
1085,flexible ibm,you
1086,peers,they
1087,,you
1088,years,it
1089,now,that
1090,,money
1091,successful career here,the company
1092,foot,big company
1093,the door,company
1094,chill environment,wide trainings
1095,lots,there
1096,facilities,some issues
1097,reputable company,the company
1098,good,the biggest roadblocks
1099,it,
1100,employees,ability
1101,great culture,people
1102,great work environment,the company
1103,great people,no middle
1104,opportunities,people
1105,access,millennials
1106,top,there
1107,technologies,lot
1108,nothing,baby boomers
1109,great,between
1110,team,benefits
1111,great work,pf
1112,global reach,other companies
1113,wider tech,poor management
1114,fun environment,much room
1115,great pay,growth slow work environment
1116,,culture
1117,flexibility,large part
1118,the problems,unrealistic targets
1119,you,teams
1120,,toxic environment
1121,fun environment,growth
1122,smart,poor benefits
1123,incredible attention,they
1124,detail,new program
1125,desire,wastes time
1126,things,lack
1127,good sales,concern
1128,training program,employees
1129,good base salary,place
1130,software offerings,low morale
1131,structured training,it
1132,various opportunities,an old company
1133,sign,quite few people
1134,bonus,retirement
1135,the people,it
1136,ibmers,not
1137,worklife balance,the
1138,everyone,freshest
1139,hub,products
1140,atlanta,they
1141,,female managers
1142,ton,the
1143,smart people,boy
1144,ton,ibm
1145,resources,this
1146,me,lot
1147,lots,unnecessary competition
1148,challenges,females
1149,excellent work,ridiculous stuff
1150,life balance,it
1151,huge library,only problem
1152,training materials,that female
1153,you,other words
1154,new skill,there
1155,flexible work environment,lot
1156,community involvement,support
1157,global projects,the females
1158,incredible insight,there
1159,company,the glass ceiling
1160,the employees,the first floor
1161,ibm,ibm
1162,excellent results,such thing
1163,the ibm brand,
1164,many doors,raging feminist
1165,lot,it
1166,opportunities,one
1167,good work life balance,it
1168,which project,me
1169,you,it
1170,lot,the time
1171,support,
1172,maternity period,
1173,decent pay,one
1174,nice work culture,the best bosses
1175,flexible environment,
1176,career growth,man
1177,peers,good note
1178,hour flexibility,there
1179,strength,lot
1180,company,nepotism
1181,history,lot
1182,great,the younger people
1183,flexibility,there
1184,facilities,the offspring
1185,women,someone
1186,great innovation client,most
1187,numerous opportunities,the parent
1188,workplace,the better
1189,part,the gig
1190,good work life,you
1191,balance,another position
1192,great pay,the company
1193,great people,there
1194,clearance sponsorship,you
1195,company,network
1196,it,
1197,employees,several positions
1198,fortune,four years
1199,500 company,layoffs
1200,months,the whim
1201,travel,some organizational consultant
1202,all,
1203,the culture,another position
1204,it,someone
1205,the people,
1206,,they
1207,work,another way
1208,great flexibility,they
1209,work life balance,you
1210,good,they
1211,nice environment,any
1212,big company,the enormous
1213,many employees,an official interview
1214,ibm,you
1215,market,there
1216,leading products,that
1217,the name,
1218,you,there
1219,an appointment,some people
1220,the benefits,networking
1221,salaries,phenomenal
1222,ibm,the one person
1223,,the other end
1224,schedule,the phone
1225,quality,you
1226,you,you
1227,lot,home
1228,freedom,they
1229,you,it
1230,you,
1231,salary increases,2016
1232,you,people
1233,one,home
1234,the people,people
1235,not,least
1236,many,the times
1237,,count
1238,left,
1239,organization attention,something
1240,detail punctual friendly flexible customer,utmost importance
1241,quality orientation,hours
1242,good exposure,they
1243,tech,the idea
1244,there,it
1245,lot,you
1246,possibilities,days
1247,you,the window
1248,time outside,all night
1249,schedule,something
1250,manageable workload,me
1251,the company,an emergency
1252,many,the morning
1253,flexible schedule company name commissions,she
1254,flexible,calls
1255,opportunities,caribbean islands
1256,successful projects,cruise
1257,entry level,she
1258,respectful work environment,system
1259,decent benefits,new skills
1260,work,niche market
1261,home,
1262,many training,no clear timelines
1263,continuing ed opportunities,promotions
1264,large company,
1265,good name,promotion
1266,incredible company,months
1267,prestige,it
1268,compensation,
1269,benefits,different company
1270,they,
1271,great work life balance,lack
1272,remote work,talent
1273,pay,work ethic
1274,you,every time
1275,smart people,you
1276,working,things
1277,healthcare,different way
1278,easy overall process,people
1279,technology,you
1280,dont,that
1281,any,ibm
1282,great management,things
1283,perfect location,you
1284,people,they
