,pro,con
1262,medium level,quota fluctuations
1263,management hierarchy,two many different sales
1264,low pressure,conflicting messages
1265,interesting work,prior years
1266,flexible work,offboarding
1267,achedule,service
1268,community service,the resources
1269,established technology,business unit
1270,existing customer base,90 hours
1271,importance,any thanks
1272,equal parlance,good position
1273,mothers,computer industry
1274,poor fund selection,bit more
1275,single mom,racist managers
1276,two,good culture
1277,lower end,some emc folks
1278,this balance,prima donnas
1279,key metrics,nimble
1280,doubt one,smaller competitors
1281,the best jobs,many organizational changes
1282,oklahoma,any sales
1283,advance,the downside
1284,good manager,layers
1285,empowering employees,control
1286,just words,slow work pace
1287,paper,old management style
1288,most managers,year
1289,the drive,80
1290,policy,upper level executives
1291,life work balance,resources
1292,open culture,marketing
1293,quality people,engineering problems
1294,generous time,average
1295,solid pay,the environment
1296,those teams,an anything
1297,look,type environment
1298,dependable benefits,any reprimand
1299,reasonable perks,jokes
1300,other large tech companies,road
1301,dell emc,referral
1302,any,not much
1303,the others,areas
1304,great chance,the core values
1305,connections,one thing
1306,fellow employees,another
1307,bangalore,about profit
1308,very great,any large corporation
1309,micro,some account alignments
1310,par,failure
1311,the fairest,stress
1312,the work life balance,the base pay
1313,many people,high reward
1314,real life,directionless management
1315,rewarding job,no work life balance
1316,exciting place,accountability
1317,fast pace,customer issues
1318,great task planning,that regard
1319,good size tech company,thought
1320,dot,little structure
1321,com attitude,every issue
1322,generally people,flexibility
1323,solid recognition program,conference rooms
1324,the area,something
1325,the austin,warm body
1326,tx area,case
1327,excellent salary,micromanaged environment
1328,some degree,top managers
1329,over 20 years,the chain
1330,the egans,the worst
1331,drive,many people
1332,the employee experience,low morale
1333,brand name,the team
1334,some good people,the insurance
1335,super flexible work schedule,huge bill
1336,motivation,no clear career path
1337,benefit,tse
1338,healthcare,the different tse
1339,the attention,the giant corporate machine
1340,details,long
1341,months,fixed release cycles
1342,pleasant working experience,law
1343,excellent compensation,office amenities
1344,generous performance bonus opportunities,massachusetts
1345,the financial compensation,sales quotas
1346,voluntary separation,territories
1347,overall care,better management
1348,working arrangements,internal systems
1349,friendly smart team strong ethics,pay scale
1350,clear directions,paperwork
1351,executives,team placement
1352,great team environment,no mentorship
1353,date,programs
1354,amazing benefits,technical roles
1355,great gym,work culture
1356,some leaders,waterfall
1357,great collaborative effort,old ideas
1358,good technology,endless bureaucracy
1359,healthcare benefits,attitudes
1360,garage parking,other employers
1361,other young people,importance
1362,many different technologies,all times
1363,the country,note
1364,hsa,kids
1365,okc,home
1366,program,emphasis
1367,rotations,project direction
1368,good managers,team contributions
1369,easy,company objectives
1370,each other,high politics
1371,career growth opportunity,same cons
1372,amazing flexibility,any large organization
1373,early release fridays,fair amount
1374,summer months,silos
1375,the best training program,priority
1376,pockets,starting salaries
1377,challenges,undergrad
1378,decent rotation,enough opportunity
1379,good career growth,the location
1380,strong benefits,limited career opportunities
1381,excellent compensation outstanding camaraderie,quantity
1382,short,more micromanagement
1383,giveaways,play
1384,interesting work talented colleagues,unethical sales practices
1385,backlog,other people
1386,items,the middle management
1387,discounts,an
1388,decent benefits package,the morale
1389,good start,the floor
1390,stone,the quality
1391,flexible environment,hires
1392,great employees,blind eye
1393,wonderful benefits,unethical work practices
1394,awesome opportunity,many instances
1395,the machine,the number
1396,many groups,shady tactics
1397,20 days,the leadership
1398,annual leave,reality
1399,stable work environment,majority leaders
1400,needed good benefits,younger folks
1401,great entry point,terms
1402,bunch,spending
1403,lasting career,no free coffee
1404,several good people,no good offsite
1405,strong knowledgeable management,no free stuff
1406,excellent team collaboration,customer engagement programs
1407,quality end,ton
1408,work remotely,long way
1409,education services,no training
1410,every months,low motivation
1411,days,drive
1412,pba,changing competitive landscape
1413,remote employment,decent compensation
1414,management very,average compensation
1415,work life balance coworkers,potential growth
1416,love working,dynamic
1417,talented engineers,startup environments
1418,the server division,little room
1419,firmware engineer,not lot
1420,that management,no real
1421,that,college graduates
1422,experts,very minor bumps
1423,career advancement possibilities,any significant salary bumps
1424,many engineering titles,some technologies
1425,the team environment,roadmap
1426,the confidence,this employment
1427,immersive environment,connected workplace
1428,the best thing,pm
1429,connected workplace,call center
1430,amazing ownership,huge work load
1431,project,better career growth
1432,good exposure,support
1433,the storage industry,advancement opportunities
1434,whisky,hike
1435,60,senior people
1436,almost year,no direction
1437,folks,big box storage
1438,free laptop,rarely
1439,outstanding coworkers,enough
1440,home time,management decisions
1441,unemployment,no discussion
1442,some jobs,those decisions
1443,different orgs,discussions
1444,smart,kpi
1445,considerate peers,product
1446,technical staff,not the best
1447,edge technologies,the verticals
1448,continual improvement,new hire
1449,reinvention,teeth
1450,corporate,bait
1451,management culture,one area
1452,great manager support,the staffing process
1453,flexible time work,many ways
1454,role great benefits,conflict avoidant manager
1455,the board,payroll related issues
1456,good compensation package,terrible impression
1457,remote positions,salaried exempt employee
1458,available career advancement,january
1459,remote available personal development programs,some processes
1460,office environment,the windows
1461,air conditioning,recent years
1462,casual dress,hoops
1463,agile,some certs
1464,coast,family mentality
1465,alright job friendly coworkers,ppl
1466,daily work,great support
1467,the same,too type
1468,the bills,personalities
1469,nice environment,any big company
1470,average pay,too much
1471,great mission,all luck
1472,vision etc,good call
1473,decent comp,none everyone
1474,good revenues,no equity compensation
1475,intellectual environment,comparison
1476,great colleagues,the trade
1477,interesting campus,true
1478,unique workspaces,espp plan
1479,many roles,hr service quality
1480,some managers,wide knowledge
1481,the environment,any other way
1482,passion,the things
1483,company match,new technologies
1484,great peoples,very project
1485,second time,no additional time
1486,both experiences,manager matters
1487,autonomy,slow
1488,latitude,many barriers
1489,some decisions,permissions
1490,committee,very big
1491,creative outlet,changing technology
1492,any other company,the white man
1493,the technology sales industry,upper exec
1494,an exponential rate,ole
1495,the right drive,boys club
1496,dedication,drinking
1497,willingness,the boys
1498,then dell,an outcast
1499,the right place,gender inequality
1500,great compnay,inclusion
1501,state,white man
1502,the art,great talent
1503,negative,upper execs
1504,customer focus environment,any engineeeing implementation
1505,competitive place,forever
1506,healthy,countless projects
1507,good perks,task
1508,three weeks,comp
1509,great communication,the transition
1510,paychecks,dell practices
1511,the software side,stingy pay
1512,new product releases,seattle
1513,an outstanding product portfolio,mediocre benefits
1514,foundation match,parental leave
1515,charity contributions,only few weeks
1516,and,poor 401k fund choices
1517,different groups,low level management
1518,every,the 90s
1519,the right experience,poor security practices
1520,contacts,invasive nda
1521,some opportunites,employee agreement
1522,safety,arbitration policy
1523,decent salary,donations
1524,sales floor,corporate pac
1525,no real office space,mostly funds
1526,the fitness facility,conservative lobbying groups
1527,first class,most companies
1528,good company culture,the size
1529,friendly coworkers,quite few meetings
1530,great work culture,emails
1531,teamwork diversity parking commute,im
1532,many amazing individuals,the account set
1533,good life,luck
1534,senior managers,the draw
1535,the new remote work lifestyle,bad account sets
1536,the right team,as much money
1537,new things,terrible reps
1538,timing,just luck
1539,good location,high performing accounts
1540,fitness,comp perspective
1541,flexible work schedule etc,all large companies
1542,great technology,the red tape
1543,many new things,this size
1544,benefit packages,the tools
1545,current hardware,normal cons
1546,earth people,the layoffs
1547,very customer,hopkinton
1548,renewed emphasis,type
1549,jeff clarke,through
1550,holidays,misalignment
1551,technical background,the transformation teams
1552,some idea,the team level
1553,the relationship,the style
1554,qould,traditional waterfall
1555,the best pro,mandatory overtime
1556,chance,compensation structure
1557,depth knowledge,very metrics
1558,storage system,some additional duties
1559,good time,every job
1560,individualism,people improvement
1561,the projects,flat career growth
1562,the job training,inadequate allocation
1563,staff,functional work space
1564,nice compensation,resistance
1565,the dell emc culture,constructive criticism
1566,everyday,principle tech
1567,great perk,senior tech
1568,great one,blue cross blue shield
1569,the lead,illinois
1570,toxic cultures,the worst insurance
1571,size,20 years
1572,age roles,the same things
1573,class approaches,the emc policies
1574,company ways,nightmare
1575,stability,moral
1576,annual,less quality people
1577,average level,overr quality people
1578,charge,daunting
1579,quality products,pedal
1580,the past year,the metal
1581,known brand,confusion
1582,great awesome work atmosphere,sham
1583,good benefits packages,other manufacturers
1584,retirement,it shaky ground
1585,some product lines,not young people
1586,sharp people,not competitive
1587,other,not enough mentoring
1588,flexible work environment,majority
1589,company 401k match,smart leaders
1590,maternity leave,first opportunity
1591,amazing work culture,moves
1592,great opportunities,fortune 500 enterprise market
1593,high octane environment,the knowledge
1594,wfh policy,those doors
1595,big corporation,combination
1596,great teammates,refresh cycle
1597,unlimited potential,some cloud pullback
1598,software test,the slide
1599,hardware test,frequent org change
1600,manufacturing,high stress
1601,factory automation,high pressure
1602,supply chain,work environment
1603,vendor management,heavy travel
1604,software development,chess pieces
1605,unlimited opportunities,md
1606,every manager,uncertainty rules
1607,good work environment,all subsidiaries
1608,fairly easy job,the dell technologies brand
1609,many processes,constant reorganizations
1610,future jobs,every months
1611,ok,extremely political
1612,workplace,downtown seattle location
1613,nice,personal pref
1614,challenging projects,mine
1615,great co workers,comp plan changes
1616,many positions,the same position
1617,some level,many years
1618,telecommuting,management turnover
1619,basically any drawbacks,isrs
1620,life balance compensation,proper communication
1621,perfect,too much focus
1622,next generation technologies,meeting dates
1623,decent salaries,quality deliverable
1624,values,not bad excellent work
1625,intelligent people,hardworking folks
1626,line,some members
1627,friendly work environment,the job offer
1628,both use,business systems analyst
1629,prcoesses,healthcare consultant
1630,flexible work schedule good work,broad name
1631,life balance descent compensation descent bonus,consulting
1632,internal movement,accounting
1633,compelling problems,project management
1634,good company atmosphere,few others
1635,client sites,weird time
1636,an anonymous survey,ntta data
1637,feedback,the first day
1638,the survey,hiring process packet
1639,the results,two weeks
1640,advice,busy work
1641,an actually decent focus,days
1642,the occasional long hours,consultant
1643,release,few other
1644,production,college grads
1645,excellent support,ntt data
1646,excellent place,the midnight oil
1647,exciting,national averages
1648,creative strategy,the hqs
1649,hot industry,shift bids
1650,the shine,roll
1651,open,the very top
1652,minded teams,the real work
1653,own cloud,the rotation
1654,reasonable work life balance,not start
1655,great career achievement,all the free breakfast
1656,only major medical plan,lunches people
1657,flex work schedule,high
1658,contractor,some politicking
1659,badged employee,the workplace
1660,promise,an industry role
1661,very nice environment,assignments
1662,good 401k matching,india
1663,good senior mgmt perks,employee compensation cut
1664,steady consistent business model,bare bones
1665,nice perks,mediocre tools
1666,site gym,salary compression
1667,doctor,high school politics
1668,the same role,sometimes workloads
1669,quite some time,cost
1670,unreleased tech,mentality
1671,constant opportunities,the extreme
1672,workplace environment,title reductions
1673,healthcare options,large number
1674,requirements,salary declines
1675,gift cards,less benefit reductions
1676,awesome healthcare packages,negative cultural change
1677,wonderful 401k match,enough work
1678,best college reimbursement,steady salary
1679,excellent employee work groups,working hours
1680,veterans,planning things
1681,lgbt community,slow growth
1682,english,market rates
1683,second language,attempts
1684,normal weekly business,perhaps an industry
1685,the utah corporate games,the near future
1686,employee involvement,nickle
1687,charity work,an organization
1688,utah food bank,many leaderships
1689,habitat,usa
1690,humanity,other locations
1691,stem groups,bangalore
1692,kids,messy alignment
1693,volunteering,merger causing conflicts
1694,stem events,though
1695,the utah valley,personal development
1696,the dell,mass adoption
1697,an option,the pyramid
1698,any larger company,new innovations
1699,the site director,the mainstream
1700,any industry,very
1701,good upward mobility,egos
1702,the right leadership,extreme lack
1703,helpful,real training
1704,important work,reading
1705,flexible work options,script
1706,many career paths,management breathing
1707,class experience,the queue
1708,work life,the politics
1709,room to advance,big annoyance
1710,home days,2 week notice
1711,interesting projects,remote worker team synergy
1712,career advancement opportunities,consistent resources
1713,multiple locations,an issue
1714,not,facilities
1715,many training,offshoring
1716,dell acquisition,life
1717,floor,load balance
1718,regional level managers,career
1719,employee needs,progression
1720,initiative,the previous management
1721,financial rewards,the business outcome
1722,dellemc,secrecy
1723,great entry level program,no communication
1724,good starting pay,chaos
1725,new technical support engineers,education services
1726,mentorship,own favorites
1727,some departments,that group
1728,food,the company employees
1729,fun activities,these all hands meeting
1730,leading edge technology,picture
1731,activities,company growth
1732,everyone director,several areas
1733,lower,existing employees
1734,rrsp,the aftermath
1735,portfolio,the corporate ladder
1736,product,all the benefits
1737,different,death
1738,course,zero appreciation
1739,employee discounts,small
1740,consumer laptops,virtustream
1741,friendly work culture,way too
1742,international work force flexibility,much management
1743,desired,senior director
1744,an intern,the product
1745,another huge tech company,public sector
1746,merger impacts,an absolute train wreck
1747,streams,no attention
1748,lot fo learning,the testing
1749,positive,the products
1750,certainly,zero
1751,the best job,another main issue
1752,entities,bad employees
1753,atleast,another employee
1754,ac bonuses,almost nothing
1755,equiment,good work team
1756,good pto,an entire weekend
1757,the training,saturday
1758,miles,good job
1759,the competitors,pat
1760,good work place,the back
1761,large,80 hours
1762,dedicated people,you efforts
1763,hill,an hour
1764,dell merger,overtime
1765,learning,an intervention
1766,infratsructure,previous coworker
1767,50,similar experience
1768,family time,cruising mentality
1769,the employee development,the bar
1770,good salaries,entry
1771,good work ethic,the highest
1772,the summer intern program,first
1773,interns,server company
1774,all areas,the most
1775,the right fit,reactive company
1776,summer project,an innovations company
1777,presentation,big presence
1778,the summer,the focus
1779,career progression opportunities,the problems
1780,not dog,the tier
1781,dog,minimal pay
1782,lateral opportunities,big
1783,proven solutions,matrixed org
1784,sales culture,overlapping roles
1785,massive career,responsabilities
1786,sick leave,straight
1787,tuition refund,switch
1788,401,the truth
1789,the policies,the summer
1790,many other texas,mba full time salary
1791,tech companies,standard salary
1792,any large company,general lack
1793,amazing portfolio,competitive company
1794,any organization,the fangs
1795,best sales,competitive employment
1796,outside field sales,corporate mindset
1797,the best part,the best decisions
1798,cooperative team spirit,you this
1799,the satisfaction,issue
1800,the main,extra hours
1801,pressure,feedback
1802,the respect,an important aspect
1803,nice powerpoint slides,any major ambitions
1804,employment,steady job
1805,kinda sorta,good work life balance
1806,opportunity inclusive culture opinions,lesser experience
1807,boy rules,knowledge
1808,no commute,social media
1809,different global offices,fulfillment
1810,team work,other schools
1811,teenager,expensive healthcare
1812,pleasure,benefit reductions
1813,adequate pay,past few years
1814,good working environment,employee thousands
1815,good colleague,dollars
1816,regular pattern,no rewards
1817,day time,real bonuses
1818,good support,some small giftcards
1819,good team work,an environment
1820,movement,routine layoffs
1821,collaborative,global time
1822,good pre sales support,so lots
1823,pair,long days
1824,timings,technical ladder
1825,wfh flexibility,better granularity
1826,micromanagement,not just exec
1827,relaxed deadlines,some positions
1828,customer support,future advancements
1829,expectation,sales tools
1830,bery smart people,the cloud spaces
1831,awesome,the department
1832,dynamic environment,mistake
1833,consistent improvement,the inevitable mistakes
1834,cbp,competency
1835,home one day,bars
1836,innovative,not much growth
1837,brand recognition,higher ups
1838,the verge,some management
1839,the computer,pressure
1840,storage industries,the senior management
1841,improved,us employees
1842,priority,resource
1843,different work profiles,the replacements
1844,awesome training,the same level
1845,later positions,us resource
1846,different background,lower cost
1847,any suggestions,dell acquisition
1848,corporate holidays,the positives
1849,high performers,free onsite gym
1850,numerous ltis,subsidized public transportation
1851,patents,food service
1852,significant lti,the name
1853,reason,global
1854,the color,harmonization
1855,religious alignment,legacy dell folks
1856,healthy living lifestyle,legacy
1857,the cost,the current job market
1858,great learning opportunity,silicon slopes
1859,storage platfroms,good people
1860,friendly helpful team members,huge profits
1861,helping customers,billion dollar payments
1862,great working environment,average raise
1863,some benefits,10 years
1864,terrific management,too many teams
1865,great work life,complex team structure
1866,home company,bureaucratic senior management
1867,meaningful action,innovation mindset
1868,good brand,global roles
1869,great flexibility,strange arrangement
1870,diverse,the marketing org
1871,challenging work environment,pcs
1872,groupthink,king
1873,high visibility,none whatsoever
1874,right lead,sometime long hours
1875,good amenities,weekend
1876,work place,good manager
1877,very good company,some time
1878,lovely,corporate structure
1879,constant change,other major companies
1880,work ethic,huge focus
1881,urgency,margins
1882,home ability,set deadlines
1883,new building,whikle automony
1884,john byrne,review cycles
1885,the brightest engineers,the content
1886,technical level,the progress
1887,nice set,positioning
1888,competent people,messaging
1889,lovely team,concepts
1890,absolutely none,the cycle
1891,nill,many time
1892,good words,no lot
1893,fantastic culture,gtm setting
1894,direct sales,the launch
1895,perfect position,executives
1896,all dell products,updated
1897,end,messages
1898,floating holidays,content
1899,jan 1st,deliverables
1900,each new year,however
1901,good entry start,all execs
1902,fast paced environment,the meetings
1903,large employer,input power
1904,good place place,thousand requests
1905,general,other offerings
1906,ton,attention
1907,good access,tough balancing act
1908,internal products,press release
1909,competitive products,all the aforementioned information
1910,collaboration model,two pages
1911,the best 401k match,visceral reaction
1912,the sales force,an change
1913,sales reps success,the above
1914,most roles,translations
1915,remote great benefits,quarter
1916,fully remote worker,the decision
1917,the required,internal fights
1918,documents,the decisions
1919,wide spectrum,development
1920,technical topics,the schedule hostage
1921,complex topics,all the cost
1922,guides,many groups
1923,day use,layoff
1924,the supply chain,online
1925,team atmosphere,webpages
1926,work related,the jobs
1927,extracurricular activities,the marketing manager
1928,dell culture code,photography
1929,normal basis dell,videos
1930,lunch,brochures
1931,solid leadership,organizations
1932,multiple functions,brand guidelines
1933,tools,the communications team
1934,the hardest,press relases
1935,the game,specific dates
1936,flexible work conditions,legal review
1937,cost,launch dates
1938,living,the plate
1939,texas,addition
1940,many different groups,all the reviews
1941,great values,the cons
1942,inventory,the past minutes
1943,tolerance,the food
1944,varied career experiences,chain
1945,endless networking,behavioral issues
1946,broad range,any questions
1947,great group,the micromanagement
1948,solid people,safety
1949,solid product base,this point
1950,100,every employee
1951,the post merger,bubble suits
1952,structure strong management,need
1953,flexible work schedule,onshore opportunities
1954,examples,costs
1955,hr healthcare benefits,ways
1956,balance work flexibility 401k match,profits
1957,personal situation,storage
1958,the top great places,strategies
1959,possibility,the techs
1960,onsite,log
1961,sodexo cafeteria,several hours
1962,decent cultures,the weekend
1963,twice week,every little room
1964,prizes,small business sales
1965,internal opportunities,literally the worst
1966,oppurtunity,lower
1967,all different types,the country
1968,friendly working culture,an earlier start
1969,fair,shift
1970,corporate encouragement,make
1971,charities,sponsor
1972,sustainability,senior level
1973,works,some pockets
1974,great environment work,speed
1975,work arrangements,business
1976,the integration,the technology
1977,story,set mindset
1978,new young employees,almost everything
1979,no longer,new heights
1980,the business model,good news
1981,professional people,track
1982,wonderful atmosphere,strong growth
1983,good experience,tough market
1984,changing market conditions,few senior positions
1985,commoditization,lower management level jobs
1986,margins,lateral moves
1987,home opportunities,lateral move
1988,industry leading company,overall
1989,big events,no real incentive
1990,competitive environment,direct management
1991,different roles,many ares
1992,some groups,the first
1993,fair wage,high cost area
1994,good job live balance,old age
1995,great global experience,nature
1996,entry level,long term employees
1997,cafeterias,the upper level management
1998,every building,mentoring subordinates
1999,fresh,no real group fitness
2000,security,class space
2001,startup,proper times
2002,steady,sales floor
2003,life flexibility,no real chain
2004,good amount,command
2005,networking,sales divisions
2006,chat,mobility
2007,every business,difficulties
2008,shows,politicians
2009,the investments,too many meetings
2010,the money,the way things
2011,everybody,roll outs
2012,new person,many emc employees
2013,office,new opportunities
2014,the vista station building,data center sales
2015,the name brand,the traditional dell sales
2016,sucess,opinions
2017,attaining,whole
2018,great training,innovative
2019,point,old ways
2020,young professionals,the set path
2021,companies,the onboarding process
2022,personal business allowance,laptops
2023,positive daily atmosphere,varying
2024,new technology,general attitude
2025,access,high performers
2026,the dept,group
2027,cafe,an unknown commodity
2028,talented employees,then the low man
2029,an awesome company,the totem pole
2030,great future,heritage dell leadership
2031,hard atmosphere,call center environment
2032,founder,micromanagement
2033,degree,some favoritism
2034,good projects,management style
2035,good communication,significant improvement
2036,community involvement,any pitfalls
2037,overall quality management,salaries rates
2038,particular segment,the visibility
2039,metrics,talent
2040,great organization,massive reduction
2041,solid structure,onshore resources
2042,strong brand,mostly emc
2043,clear vision,obvious reasons
2044,what,legacy products
2045,the future looks,inexperienced workforce
2046,tenured,shrinking sales
2047,vs,some work areas
2048,new employees,reduction
2049,home model,these days
2050,great training complete portfolio,agile environment
2051,different product lines,any workspace
2052,technical acumen,table
2053,the santa clara,all the other developers
2054,an enormous amount,two monitors
2055,no comment,the same seat
2056,high,every day
2057,strong compensation,monitors
2058,reasonable,horrible choices
2059,many internal opportunities,internal upper positions
2060,low cost health care,the dice
2061,life insurance,true feedback
2062,an honor,positive
2063,executive management,dell surveys
2064,but,worst turnover rate
2065,generally good,no advanced training
2066,corp,further
2067,slackers,the ability
2068,cool companies,quite gap
2069,umbrella remote work,travel policy
2070,family friendly good,few people
2071,great benefit package,deadlines
2072,compelling strategy,the fly
2073,many challenges,career growth paths
2074,awesome wrk,agile methodologies
2075,nice team,constant growth
2076,changes,increases
2077,big heart,alittle stagnant
2078,speech,long periods
2079,great environment,an outage
2080,the only good benefit,merger
2081,global,offs
2082,flexible working,middle
2083,today today,transition
2084,over 10 years,dynamics
2085,the package,uncertainty
2086,ot,large divisions
2087,good folks,first couple years
2088,very good compensation,weekends
2089,the groups,holiday
2090,home sometimes,secret
2091,nothing else,no career progression salary
2092,great office,many jobs overseas
2093,standard benefits,bad leadership
2094,dell employee discount,no growth
2095,subsidized cafeteria,boston
2096,home flexiblity,the best ones
2097,work life challenge,the issue
2098,the dell supply chain,no life
2099,policies,voice
2100,new dell laptops,many leaders
2101,paternity leave,challenges
2102,14 years,any big enterprise company
2103,availability,schedule
2104,occasion,then management
2105,fortune 50,schedule change
2106,architecture,the technical writing function
2107,platforms,the writers
2108,global colleagues,north america
2109,no matter,some functions
2110,the tools,technical writing
2111,the real heroes,team consolidation
2112,every employee,unnecessary metrics
2113,the attrition rate,shiny new internal social media site
2114,replacements,efforts
2115,20 years,huge power struggle
2116,some smart people,the dell
2117,interesting problems,the emc leaders
2118,growth company,the group
2119,very nice,the legacy employees
2120,transport facilities,individual contributors
2121,management execution,the leadership quality
2122,talented,employee ratio
2123,itsm group,the entire emc portfolio
2124,the new possibilities,counterproductive field sales clash
2125,vacation length,big shift
2126,incredibly,the value
2127,world class training program,dell emc solutions
2128,career trajectory,the same selling motion
2129,control,laptop
2130,good hardware investment,the decline
2131,good job,field sales enablement
2132,many departments,the removal
2133,acumen,training opportunities
2134,each workday,dell sales people
2135,worthwhile,other products
2136,smart team,resolution
2137,driven people,hill
2138,real meritocracy,nobody
2139,impressive gamut,management support
2140,the leaders,cube
2141,very competitive pay,farm
2142,training available,two fifteen
2143,many days,minute breaks
2144,knew skill,hour
2145,annual reviews,30 minutes
2146,increases,pip plan
2147,top management,different job
2148,fantastic plan,good hours
2149,less,the phone
2150,stars,the bathroom
2151,hr policies,the headache
2152,wide experience,not good place
2153,computer company,technical skills people
2154,remote employees,very bureaucracy etc
2155,program management careers,emc culture
2156,good corporate social responsibility,emc legacy work
2157,some very cool people,legacy dell employees
2158,average salary,good positions
2159,huge footprint,several emc directors
2160,good enthusiasm,dell person
2161,great job culture,training requirements
2162,product portfolio,salespeople
2163,interaction,unrealistic expectations
2164,exceptional people,all the new companies
2165,good pay good products,theres
2166,personal development,very busy
2167,the effort,no specific cons
2168,25 hours,the technology curve
2169,the week learning,the threat
2170,awesome company,mgmt politics
2171,good times,profitability
2172,bad,personal level
2173,team effort,good ones
2174,comp,not very competitive salary package
2175,employee resource,expectation
2176,good company morale,clear
2177,grow,bonuses
2178,still few talented people,contract
2179,the vmware,territory
2180,the legacy dell presence,area
2181,foot,no sales rules
2182,not dell,the spot
2183,great benefits packages,leadership changes
2184,strong commitment,orgs
2185,advance certifications,terrible
2186,all mc certs,uncertain future
2187,msd,annual pay
2188,tremendous job,legacy emc management
2189,2008,dell culture
2190,excellent opportunities,bad commute
2191,new ideas,the accounts
2192,operational excellence,the multinational size
2193,good buildings,the past 20 years
2194,value statement,the opportunity
2195,straight,site
2196,college students,slave
2197,limitless opportunities,hectic environment
2198,interest dellemc management,ok workplace
2199,number,great scope
2200,organization,responsibility
2201,just hardware,the recent merger
2202,buck,some benefits
2203,penny wise,micro management
2204,pound,certain groups
2205,every aspect,average benefits
2206,the work culture,very political management
2207,big shop,mgmt
2208,places,boys
2209,large organisation,only club
2210,nice collegues,the board
2211,good teams,every area
2212,phase,every business group
2213,some data storage software,decorations
2214,modern environments,moments
2215,that phase,no explanation
2216,some innovation,the rank
2217,some top notch,file
2218,this phase,matters
2219,some interesting distributed systems problems,performance evaluations
2220,incredible training,formalities
2221,friendly staff,no real meaning
2222,entrepreneurial spirit,management measures everything
2223,easy access,the sake
2224,stretch skill set,tons
2225,fantastic manager,some projects
2226,an even pace,individuals
2227,unlimited,underemployed
2228,80,an enterprise sales mentality
2229,other workers,retail company
2230,the floor,history
2231,challenging,the entire culture
2232,great binifits,former company
2233,big business opportunity,everyday
2234,world level market,pink slip
2235,corporate incentive bonus,productivity
2236,big,the goal du
2237,words,jour
2238,ever year,complete waste
2239,other great benefits,the next day
2240,employee wellness,the goal
2241,the dell employee purchase program,constant org changes
2242,some money,no rhyme
2243,some good,reason
2244,every cut,hostile environment
2245,salaries,no respect
2246,big place,slow career growth
2247,excellent management,move
2248,the sales organization,limited time
2249,many sales,free cafe
2250,all bright exceptional people,morale
2251,families,general priorities
2252,many family benefits,poor coverage
2253,strategic work,another state
2254,good worklife balance,not personal enough people
2255,great training program,no contrast
2256,new techs,working
2257,great facilities,dell emc
2258,new year,the overall happiness
2259,community service volunteer work,being
2260,solid benefits,the team member
2261,global environment,the management level
2262,bonus plans,few african americans
2263,industry leading access,the senior manager level
2264,it training,the whole
2265,generous vacation,the engineering space
2266,unlimited growth potential competitive pay decent benefits,giant
2267,package great people,private several years
2268,shutdown week,good chunk
2269,this point,the best engineering talent
2270,probably,the direction
2271,long,all team members
2272,many awards,the great engineers
2273,good coffee,steady degradation
2274,wonderful team spirit,software teams
2275,smart teams,frustrating amount
2276,strong,every little thing
2277,typical benefit packages,bug fix
2278,the private sector,test environment
2279,learning experience,several downstream teams
2280,great skill sets,the end
2281,few great people,deployments
2282,upword mobility,email
2283,great management team,several
2284,the smartest people,the other side
2285,the planet,the world
2286,flexible work times,the years
2287,opportunity good leadership,management change hands
2288,the operations organization,departments
2289,many depts,good chance somebody
2290,the product offering,somewhere
2291,real difference,sum
2292,no stress,good pay
2293,some smart employees,flexible hours
2294,legacy,whole lot
2295,quest software acquisition,frustrating nonsense tangential
2296,certifications,an exciting environment
2297,personal balance ratio,hours tasks
2298,flexible work solutions,all aspects
2299,staff empowerment,the sales cycle
2300,corporate matched 401k,personal
2301,corporate matched funds,guidance
2302,charitable contributions,corporate headquarters
2303,cubicle,legacy software
2304,hot central texas office,heavy dependency
2305,skype,ms windows
2306,anywhere,drinks
2307,fantastic company,hard
2308,new creative ideas,pc mindset
2309,many guidelines,unappreciated
2310,the possibility,horrible management
2311,women at dell,care
2312,branding,each other
2313,work remote,so many
2314,coffee shop,no advancement
2315,friendly environment,smt
2316,nice work culture,party
2317,seattle,reorgs
2318,building,less carrier advancement opportunity
2319,everything emc,any large company
2320,great 401k package,sometimes too much political type
2321,themselves,salary growth
2322,opening opportunities,even directors
2323,divisional reorganizations,business deals
2324,bureaucracy,the purchasing company
2325,standard,career mobility
2326,401 program,glass ceiling
2327,remote users,no profit sharing
2328,the necessary,no stock sharing
2329,reasonable package,no equity sharing
2330,india,outside
2331,continuing education,senior leadership
2332,free style,most employees
2333,great technologies,no sense
2334,other departments,urgency
2335,the desktop,awful hours
2336,handheld,unrealistic quota expectations
2337,the datacenter,unhelpful managers
2338,enterprise hardware,executive leadership
2339,strong numbers,top
2340,the magic quadrant,zero employee
2341,first hand work experience,local management feedback
2342,major features,the only issue
2343,needs,married couples
2344,the momentum,the spouse
2345,the dell technologies family,full time job
2346,touch,these employees
2347,customer needs,emc coverage
2348,business outcomes,one frustrating thing
2349,broad,employee growth opportunities
2350,offerings,more money
2351,the success,the final thing
2352,considerable,not emc
2353,nice campus,the employee purchase program
2354,great hours,dell products
2355,positive reinforcement,an annual
2356,dells,17
2357,good career,the retail price
2358,big scale,purchasing
2359,established systems,better program
2360,desk job,dell equipment
