,pro,con
309,the work environment,budget focus
310,the vista station office,others
311,layoffs,the largeness
312,everything,front
313,many complaints,other areas
314,peers,every quarter
315,edge technology,infrastructure
316,goodofffic hardware,no idea
317,good leaders,the demand
318,many different teams,the budget
319,different job functions,start
320,large network,vibe
321,very fun,office space
322,the atmosphere,ae
323,the location,not the case
324,fantastic work environment,compensation alignment
325,with,both
326,good pay,those role
327,annual raise,distention
328,fiscal year,teams
329,flexible wfh,no obvious cons
330,management,any large
331,the opportunity,red tape
332,an extreme amount,the culture
333,knowledge,training
334,technology,bully culture
335,camaraderie,internal politics
336,veteran vce alum,favorites
337,good place,everything else
338,most people,con
339,benefit standard,alot
340,better options,software applications
341,other companies,the numbers
342,utah,the ladder
343,total,leadership positions
344,pto,new leaders
345,then,very large organization
346,an additional xmas week,issues
347,the 12 weeks,the office
348,parental leave,killer
349,immediate family member,all design work
350,experienced,shore
351,disciplined senior executives,all local engineers
352,decent culture huge company,glorified admins
353,good vision,manager
354,many directions,some leaders
355,100k,market
356,dell management,money
357,ethic culture,end
358,flexible work timings,remote managers
359,tenured work,other countries
360,responsibilities,the irl work environment
361,commitment,such
362,the customers,some
363,the you,the perks
364,the market,startup tech company
365,strong cxo relationships,love dell
366,leader,great place
367,storage,corporate environment
368,servers,quotas
369,virtualization,incompetent management
370,vmware,poor work life balance
371,leadership,other
372,depth training,long hours
373,new hires,constant changes
374,abundant resources,projects
375,working,completion
376,cool technology,upper management decisions
377,an,enough time
378,such large company,all
379,something new,corporate job
380,fit,terrible management
381,lunches,poor overall business communication
382,multiple times,the various hr outlets
383,an abundance,websites
384,additional ways,cog
385,money,effort
386,target incentives,key contributor
387,all amazing offerings,the work environment
388,inviduals,in
389,skills,fear
390,many career opportunities,budget extreme lack
391,business units,headcount causing employees
392,functional organizations,workload
393,manangers,three people
394,great sales team,we
395,core emc products,an impressive number
396,life,vacation days
397,clients,no one
398,cafeteria,operations
399,transition,the holidays
400,college,the rest
401,merger,row
402,great place running,the standard cost
403,all major manufacturers,living increase
404,strong portfolio,simple things
405,solutions,the adoption
406,contests,public cloud infrastructure
407,commission,benefit standard
408,good insurance benefits,health insurance
409,perks,the dell acquisition
410,half days,corporate ladders
411,the best problem,pain
412,teams,very little innovation
413,builder,bad salary adjustment
414,impactful projects,four years
415,home option,new hires
416,great supervisor,the same role
417,partners,no experience
418,casual dress code,fun
419,room,cost cutting
420,career advancement,not ideal place
421,quota,advance personal expertise
422,respect,emc acquisition
423,amazing health insurance,employee
424,technology leader,corporate loan return schedule
425,strong ethic company,loan responsibility
426,good growth opportunities,very large
427,both day,complex
428,night,duplication
429,regular evening calls,the internal politics
430,managers,only con
431,change,level
432,positions,bureaucracy
433,strategy compensation benefits,internal processes
434,great products stability reputation,the merger
435,amazing culture code,emc
436,great leadership diversity,some leadership
437,different technologies,themselves
438,good vertical movement,some point
439,exposure,the place
440,leadership team,employment
441,great opportunity,that discouragement
442,ambitious atmosphere,yourself
443,flexible,those times
444,good engineering culture,this organization
445,focus,many cons
446,individual development,pay growth
447,high ethical standards flexibility,too long
448,roles,top ic level
449,recognition,big push
